,_t,_o,_h,_l,_c,_v
0,1589246640000,69.53000000,69.60000000,69.53000000,69.60000000,9.52332000
1,1589246700000,69.60000000,69.61000000,69.60000000,69.60000000,3.85473000
2,1589246760000,69.66000000,69.66000000,69.66000000,69.66000000,0.20000000
3,1589246820000,69.66000000,69.68000000,69.66000000,69.68000000,4.96116000
4,1589246880000,69.66000000,69.66000000,69.66000000,69.66000000,7.14292000
5,1589246940000,69.66000000,69.66000000,69.66000000,69.66000000,7.98857000
6,1589247000000,69.69000000,69.72000000,69.63000000,69.67000000,172.27041000
7,1589247060000,69.72000000,69.72000000,69.69000000,69.71000000,11.52279000
8,1589247120000,69.77000000,69.95000000,69.77000000,69.93000000,205.19644000
9,1589247180000,69.95000000,69.95000000,69.68000000,69.71000000,994.69630000
10,1589247240000,69.70000000,69.72000000,69.66000000,69.72000000,20.50885000
11,1589247300000,69.72000000,69.72000000,69.65000000,69.65000000,1.68202000
12,1589247360000,69.59000000,69.59000000,69.57000000,69.57000000,16.02112000
13,1589247420000,69.58000000,69.59000000,69.54000000,69.54000000,72.02289000
14,1589247480000,69.50000000,69.59000000,69.50000000,69.59000000,3.80000000
15,1589247540000,69.60000000,69.60000000,69.60000000,69.60000000,0.99019000
16,1589247600000,69.56000000,69.56000000,69.45000000,69.45000000,3.46500000
17,1589247660000,69.49000000,69.50000000,69.43000000,69.43000000,2.70000000
18,1589247720000,69.45000000,69.45000000,69.45000000,69.45000000,1.16700000
19,1589247780000,69.50000000,69.54000000,69.50000000,69.53000000,5.25450000
20,1589247840000,69.53000000,69.64000000,69.51000000,69.64000000,17.62063000
21,1589247900000,69.65000000,69.72000000,69.65000000,69.72000000,19.97540000
22,1589247960000,69.70000000,69.70000000,69.70000000,69.70000000,1.72200000
23,1589248020000,69.70000000,69.76000000,69.70000000,69.76000000,153.95478000
24,1589248080000,69.70000000,69.99000000,69.70000000,69.89000000,1054.18936000
25,1589248140000,69.87000000,70.08000000,69.87000000,70.03000000,135.31224000
26,1589248200000,70.03000000,70.07000000,69.98000000,70.06000000,27.47735000
27,1589248260000,70.07000000,70.16000000,70.07000000,70.13000000,18.07918000
28,1589248320000,70.13000000,70.13000000,70.06000000,70.11000000,61.57590000
29,1589248380000,70.14000000,70.30000000,70.14000000,70.18000000,165.51719000
30,1589248440000,70.18000000,70.26000000,70.18000000,70.26000000,6.01836000
31,1589248500000,70.30000000,70.31000000,70.16000000,70.16000000,48.39306000
32,1589248560000,70.22000000,70.23000000,70.22000000,70.23000000,24.45646000
33,1589248620000,70.28000000,70.29000000,70.20000000,70.20000000,91.23649000
34,1589248680000,70.20000000,70.20000000,70.20000000,70.20000000,0.00000000
35,1589248740000,70.19000000,70.19000000,70.19000000,70.19000000,0.50000000
36,1589248800000,70.28000000,70.44000000,70.26000000,70.42000000,54.92442000
37,1589248860000,70.40000000,70.47000000,70.40000000,70.46000000,42.91659000
38,1589248920000,70.41000000,70.41000000,70.34000000,70.34000000,26.83230000
39,1589248980000,70.34000000,70.34000000,70.26000000,70.30000000,54.55756000
40,1589249040000,70.30000000,70.30000000,70.30000000,70.30000000,0.00000000
41,1589249100000,70.28000000,70.28000000,70.28000000,70.28000000,3.17500000
42,1589249160000,70.28000000,70.35000000,70.21000000,70.22000000,80.51319000
43,1589249220000,70.22000000,70.22000000,70.11000000,70.15000000,21.55251000
