,_t,_o,_h,_l,_c,_v
0,1589068800000,2.75160000,2.75540000,2.74840000,2.75540000,19226.36000000
1,1589068860000,2.75480000,2.75490000,2.74960000,2.75150000,14350.45000000
2,1589068920000,2.75070000,2.75110000,2.74540000,2.74540000,14659.67000000
3,1589068980000,2.74600000,2.74650000,2.73900000,2.73910000,88970.00000000
4,1589069040000,2.73910000,2.74700000,2.73500000,2.73840000,37554.62000000
5,1589069100000,2.73850000,2.73940000,2.72200000,2.73340000,108269.33000000
6,1589069160000,2.73240000,2.73720000,2.72560000,2.73300000,39398.00000000
7,1589069220000,2.73280000,2.73770000,2.73200000,2.73500000,16640.58000000
8,1589069280000,2.73380000,2.73400000,2.72990000,2.73330000,13658.02000000
9,1589069340000,2.73360000,2.73890000,2.73260000,2.73260000,9819.34000000
10,1589069400000,2.73340000,2.73500000,2.73040000,2.73190000,8797.08000000
11,1589069460000,2.73180000,2.73530000,2.73060000,2.73530000,11502.97000000
12,1589069520000,2.73390000,2.73460000,2.73090000,2.73140000,6194.62000000
13,1589069580000,2.73100000,2.73100000,2.71950000,2.72280000,47194.38000000
14,1589069640000,2.72390000,2.72390000,2.68610000,2.69420000,198052.50000000
15,1589069700000,2.69400000,2.69420000,2.54190000,2.60000000,493317.42000000
16,1589069760000,2.60000000,2.60720000,2.55370000,2.55750000,317001.12000000
17,1589069820000,2.55640000,2.55740000,2.46900000,2.47750000,266024.35000000
18,1589069880000,2.47750000,2.49110000,2.41390000,2.41400000,255822.51000000
19,1589069940000,2.41390000,2.41710000,2.37320000,2.37380000,150319.92000000
20,1589070000000,2.37380000,2.37590000,2.29500000,2.29500000,163948.40000000
21,1589070060000,2.29200000,2.31200000,2.27790000,2.29810000,207951.70000000
22,1589070120000,2.29810000,2.43400000,2.29770000,2.41180000,215399.29000000
23,1589070180000,2.41180000,2.41490000,2.33270000,2.33720000,132896.87000000
24,1589070240000,2.33880000,2.37830000,2.33070000,2.36880000,194577.41000000
25,1589070300000,2.36960000,2.40010000,2.36000000,2.39670000,99516.14000000
26,1589070360000,2.39700000,2.40920000,2.38370000,2.40920000,118968.68000000
27,1589070420000,2.40910000,2.43380000,2.40390000,2.41080000,151369.39000000
28,1589070480000,2.40910000,2.40960000,2.38590000,2.39920000,163256.84000000
29,1589070540000,2.40210000,2.40330000,2.38590000,2.38590000,125486.56000000
30,1589070600000,2.38590000,2.40160000,2.37290000,2.40120000,116239.78000000
31,1589070660000,2.40120000,2.41840000,2.39320000,2.40780000,119255.38000000
32,1589070720000,2.41000000,2.45750000,2.40860000,2.45490000,94914.28000000
33,1589070780000,2.45490000,2.46270000,2.43870000,2.46220000,84550.62000000
34,1589070840000,2.46120000,2.46460000,2.44920000,2.45650000,119227.94000000
35,1589070900000,2.45580000,2.45820000,2.43710000,2.43820000,78077.47000000
36,1589070960000,2.44110000,2.44280000,2.42330000,2.43090000,61785.52000000
37,1589071020000,2.42940000,2.45000000,2.42320000,2.45000000,67127.34000000
38,1589071080000,2.44740000,2.46480000,2.44490000,2.44950000,65511.13000000
39,1589071140000,2.44950000,2.46280000,2.44900000,2.46080000,82910.73000000
40,1589071200000,2.45970000,2.46280000,2.44480000,2.45470000,87454.34000000
41,1589071260000,2.45530000,2.45530000,2.44240000,2.44570000,102818.81000000
42,1589071320000,2.44570000,2.46260000,2.44560000,2.45840000,103361.34000000
43,1589071380000,2.45940000,2.46880000,2.45520000,2.46080000,76578.30000000
44,1589071440000,2.46070000,2.46540000,2.45590000,2.46000000,62242.29000000
45,1589071500000,2.46140000,2.47000000,2.45860000,2.46520000,59478.22000000
46,1589071560000,2.46510000,2.48500000,2.46380000,2.48120000,46250.48000000
47,1589071620000,2.48130000,2.49620000,2.48130000,2.49280000,28470.15000000
48,1589071680000,2.49570000,2.49650000,2.47620000,2.48260000,76701.18000000
49,1589071740000,2.48390000,2.49330000,2.48250000,2.48760000,75192.05000000
50,1589071800000,2.49070000,2.51550000,2.48660000,2.51140000,113773.26000000
51,1589071860000,2.51140000,2.51540000,2.49420000,2.49640000,104278.62000000
52,1589071920000,2.49670000,2.50150000,2.49150000,2.50000000,46640.40000000
53,1589071980000,2.49650000,2.50340000,2.49450000,2.49730000,77362.64000000
54,1589072040000,2.49830000,2.50810000,2.49560000,2.50050000,40137.82000000
55,1589072100000,2.50220000,2.50220000,2.48950000,2.49330000,97269.73000000
56,1589072160000,2.49060000,2.49370000,2.46440000,2.47080000,117723.81000000
57,1589072220000,2.47250000,2.47370000,2.45220000,2.47140000,90009.44000000
58,1589072280000,2.47150000,2.49500000,2.47080000,2.48730000,73366.08000000
59,1589072340000,2.48840000,2.50170000,2.48260000,2.49040000,46629.13000000
60,1589072400000,2.48950000,2.49120000,2.46650000,2.46980000,114187.43000000
61,1589072460000,2.46980000,2.48920000,2.46810000,2.47810000,107732.26000000
62,1589072520000,2.47810000,2.48710000,2.47520000,2.47850000,52584.49000000
63,1589072580000,2.47850000,2.48620000,2.46940000,2.48200000,47798.68000000
64,1589072640000,2.48130000,2.48650000,2.47860000,2.48600000,14939.10000000
65,1589072700000,2.48430000,2.48550000,2.47680000,2.47990000,16681.74000000
66,1589072760000,2.47940000,2.48700000,2.47750000,2.48390000,27524.90000000
67,1589072820000,2.48390000,2.49220000,2.48300000,2.48550000,12682.80000000
68,1589072880000,2.48610000,2.49100000,2.48530000,2.48840000,28428.38000000
69,1589072940000,2.48860000,2.49100000,2.48620000,2.48740000,20955.70000000
70,1589073000000,2.48740000,2.49090000,2.47610000,2.47720000,38388.99000000
71,1589073060000,2.47720000,2.48620000,2.47550000,2.48510000,28145.87000000
72,1589073120000,2.48510000,2.48840000,2.48260000,2.48650000,23134.63000000
73,1589073180000,2.48650000,2.48800000,2.48210000,2.48790000,23232.04000000
74,1589073240000,2.48790000,2.49270000,2.48700000,2.49210000,17465.33000000
75,1589073300000,2.49210000,2.49230000,2.48260000,2.48260000,25477.89000000
76,1589073360000,2.48240000,2.48650000,2.48000000,2.48090000,42200.65000000
77,1589073420000,2.48040000,2.48610000,2.48000000,2.48110000,45764.14000000
78,1589073480000,2.48220000,2.48650000,2.48000000,2.48130000,14637.12000000
79,1589073540000,2.48130000,2.48630000,2.48130000,2.48630000,4636.42000000
80,1589073600000,2.48650000,2.49120000,2.48380000,2.48980000,14328.67000000
81,1589073660000,2.48980000,2.49340000,2.48670000,2.49030000,17492.23000000
82,1589073720000,2.49020000,2.49210000,2.48700000,2.49000000,8694.81000000
83,1589073780000,2.48960000,2.49530000,2.48880000,2.49530000,7377.01000000
84,1589073840000,2.49540000,2.49860000,2.49310000,2.49860000,14901.66000000
85,1589073900000,2.49680000,2.50070000,2.49670000,2.50070000,23475.80000000
86,1589073960000,2.50060000,2.50360000,2.49980000,2.50310000,13128.11000000
