,_t,_o,_h,_l,_c,_v
0,1589365080000,3.68000000,3.68000000,3.68000000,3.68000000,0.00000000
1,1589365140000,3.68030000,3.68200000,3.68030000,3.68030000,555.63000000
2,1589365200000,3.68030000,3.68030000,3.68030000,3.68030000,0.00000000
3,1589365260000,3.68030000,3.68030000,3.68030000,3.68030000,0.00000000
4,1589365320000,3.68160000,3.68990000,3.68030000,3.68460000,91953.84000000
5,1589365380000,3.68310000,3.68870000,3.68310000,3.68540000,7896.36000000
6,1589365440000,3.68610000,3.68610000,3.68530000,3.68600000,210.00000000
7,1589365500000,3.68580000,3.68580000,3.68250000,3.68430000,1866.32000000
8,1589365560000,3.68410000,3.68420000,3.68410000,3.68420000,366.86000000
9,1589365620000,3.68290000,3.68380000,3.68290000,3.68380000,273.70000000
10,1589365680000,3.68330000,3.68400000,3.67400000,3.67530000,3388.12000000
11,1589365740000,3.67590000,3.67800000,3.67440000,3.67440000,3909.17000000
12,1589365800000,3.67470000,3.67470000,3.67080000,3.67450000,3248.82000000
13,1589365860000,3.67370000,3.67380000,3.67340000,3.67340000,401.65000000
14,1589365920000,3.67340000,3.67600000,3.67340000,3.67540000,2032.98000000
15,1589365980000,3.67540000,3.67540000,3.67430000,3.67450000,100.57000000
16,1589366040000,3.67300000,3.67590000,3.67300000,3.67580000,295.81000000
17,1589366100000,3.67600000,3.67760000,3.67590000,3.67660000,1316.43000000
18,1589366160000,3.67680000,3.67680000,3.67680000,3.67680000,93.00000000
19,1589366220000,3.67710000,3.67990000,3.67710000,3.67970000,1326.81000000
20,1589366280000,3.67990000,3.68000000,3.67710000,3.67990000,518.95000000
21,1589366340000,3.68000000,3.68000000,3.68000000,3.68000000,95.45000000
22,1589366400000,3.68000000,3.68160000,3.68000000,3.68160000,850.29000000
23,1589366460000,3.68150000,3.68180000,3.68070000,3.68070000,707.44000000
24,1589366520000,3.68180000,3.68400000,3.68060000,3.68400000,340.67000000
25,1589366580000,3.68400000,3.68400000,3.68400000,3.68400000,0.00000000
26,1589366640000,3.68410000,3.68490000,3.68350000,3.68460000,1408.07000000
27,1589366700000,3.68460000,3.68690000,3.68440000,3.68510000,3894.97000000
28,1589366760000,3.68530000,3.68640000,3.68520000,3.68640000,852.66000000
29,1589366820000,3.68740000,3.68980000,3.68740000,3.68970000,2728.21000000
30,1589366880000,3.68970000,3.69510000,3.68970000,3.69510000,1751.20000000
31,1589366940000,3.69450000,3.69450000,3.68960000,3.68960000,866.37000000
32,1589367000000,3.68950000,3.69850000,3.68950000,3.69850000,3557.61000000
33,1589367060000,3.69790000,3.69870000,3.69670000,3.69870000,827.13000000
34,1589367120000,3.69720000,3.69830000,3.69720000,3.69820000,186.00000000
35,1589367180000,3.69780000,3.69780000,3.69510000,3.69580000,1832.80000000
36,1589367240000,3.69690000,3.69690000,3.69590000,3.69590000,523.24000000
37,1589367300000,3.69660000,3.69750000,3.69100000,3.69750000,8958.40000000
38,1589367360000,3.69750000,3.69830000,3.69750000,3.69830000,535.00000000
39,1589367420000,3.69690000,3.69800000,3.69610000,3.69790000,4737.51000000
40,1589367480000,3.69700000,3.69830000,3.69650000,3.69800000,2395.48000000
41,1589367540000,3.69760000,3.69820000,3.69620000,3.69800000,781.85000000
42,1589367600000,3.69870000,3.71400000,3.69870000,3.71300000,24502.72000000
43,1589367660000,3.71020000,3.71110000,3.70120000,3.70120000,3397.85000000
44,1589367720000,3.70020000,3.70490000,3.69910000,3.70490000,2555.74000000
45,1589367780000,3.70410000,3.70610000,3.70230000,3.70610000,1300.06000000
46,1589367840000,3.70480000,3.70480000,3.69930000,3.70140000,1469.59000000
47,1589367900000,3.70140000,3.70210000,3.69530000,3.69810000,4071.73000000
48,1589367960000,3.69800000,3.70230000,3.69800000,3.70230000,2496.13000000
49,1589368020000,3.69980000,3.70180000,3.69610000,3.70040000,5691.44000000
