,_t,_o,_h,_l,_c,_v
0,1589365080000,42.29000000,42.30000000,42.29000000,42.30000000,4.66575000
1,1589365140000,42.30000000,42.30000000,42.27000000,42.27000000,56.69918000
2,1589365200000,42.28000000,42.33000000,42.28000000,42.33000000,62.68445000
3,1589365260000,42.33000000,42.33000000,42.29000000,42.31000000,41.70271000
4,1589365320000,42.31000000,42.31000000,42.30000000,42.31000000,5.26949000
5,1589365380000,42.31000000,42.31000000,42.31000000,42.31000000,1.37515000
6,1589365440000,42.31000000,42.31000000,42.28000000,42.28000000,31.16442000
7,1589365500000,42.30000000,42.30000000,42.30000000,42.30000000,61.45556000
8,1589365560000,42.31000000,42.31000000,42.30000000,42.30000000,1.89803000
9,1589365620000,42.29000000,42.30000000,42.28000000,42.29000000,43.98776000
10,1589365680000,42.28000000,42.29000000,42.16000000,42.23000000,1632.61453000
11,1589365740000,42.23000000,42.24000000,42.21000000,42.21000000,80.50884000
12,1589365800000,42.22000000,42.22000000,42.17000000,42.20000000,159.54796000
13,1589365860000,42.20000000,42.22000000,42.19000000,42.20000000,54.50899000
14,1589365920000,42.20000000,42.20000000,42.20000000,42.20000000,54.77926000
15,1589365980000,42.20000000,42.20000000,42.18000000,42.19000000,259.74633000
16,1589366040000,42.18000000,42.20000000,42.17000000,42.20000000,244.08864000
17,1589366100000,42.19000000,42.20000000,42.17000000,42.19000000,97.44069000
18,1589366160000,42.18000000,42.19000000,42.18000000,42.19000000,8.52145000
19,1589366220000,42.19000000,42.20000000,42.18000000,42.20000000,42.85220000
20,1589366280000,42.19000000,42.20000000,42.19000000,42.20000000,8.27702000
21,1589366340000,42.20000000,42.20000000,42.20000000,42.20000000,8.07094000
22,1589366400000,42.20000000,42.21000000,42.19000000,42.19000000,172.04418000
23,1589366460000,42.21000000,42.21000000,42.19000000,42.19000000,60.89577000
24,1589366520000,42.21000000,42.23000000,42.21000000,42.22000000,148.45586000
25,1589366580000,42.21000000,42.22000000,42.21000000,42.21000000,5.64198000
26,1589366640000,42.21000000,42.23000000,42.21000000,42.22000000,13.06650000
27,1589366700000,42.22000000,42.22000000,42.20000000,42.22000000,41.29024000
28,1589366760000,42.21000000,42.22000000,42.21000000,42.22000000,51.05382000
29,1589366820000,42.22000000,42.24000000,42.22000000,42.23000000,103.28871000
30,1589366880000,42.23000000,42.26000000,42.23000000,42.26000000,87.23047000
31,1589366940000,42.24000000,42.24000000,42.22000000,42.23000000,240.91876000
32,1589367000000,42.23000000,42.29000000,42.23000000,42.27000000,472.27911000
33,1589367060000,42.27000000,42.28000000,42.26000000,42.28000000,211.98987000
34,1589367120000,42.27000000,42.30000000,42.26000000,42.29000000,288.86634000
35,1589367180000,42.28000000,42.28000000,42.26000000,42.26000000,222.18916000
36,1589367240000,42.26000000,42.27000000,42.26000000,42.27000000,219.63280000
37,1589367300000,42.26000000,42.30000000,42.24000000,42.28000000,253.87659000
38,1589367360000,42.29000000,42.33000000,42.28000000,42.30000000,4070.10755000
39,1589367420000,42.30000000,42.32000000,42.29000000,42.29000000,155.62727000
40,1589367480000,42.30000000,42.33000000,42.29000000,42.33000000,92.32740000
41,1589367540000,42.32000000,42.33000000,42.29000000,42.30000000,73.93530000
42,1589367600000,42.33000000,42.39000000,42.30000000,42.38000000,1374.80135000
43,1589367660000,42.37000000,42.39000000,42.34000000,42.37000000,1835.01479000
44,1589367720000,42.38000000,42.39000000,42.37000000,42.38000000,978.16070000
45,1589367780000,42.38000000,42.41000000,42.37000000,42.41000000,638.36877000
46,1589367840000,42.41000000,42.41000000,42.35000000,42.35000000,483.05697000
47,1589367900000,42.36000000,42.38000000,42.34000000,42.36000000,160.03438000
48,1589367960000,42.35000000,42.39000000,42.35000000,42.38000000,120.40814000
49,1589368020000,42.36000000,42.36000000,42.30000000,42.34000000,374.70980000
50,1589368080000,42.35000000,42.38000000,42.34000000,42.38000000,133.41068000
51,1589368140000,42.35000000,42.38000000,42.35000000,42.38000000,26.33639000
52,1589368200000,42.37000000,42.39000000,42.36000000,42.39000000,76.24300000
53,1589368260000,42.40000000,42.41000000,42.39000000,42.41000000,288.89118000
54,1589368320000,42.41000000,42.41000000,42.38000000,42.40000000,132.86931000
55,1589368380000,42.39000000,42.40000000,42.38000000,42.38000000,36.44042000
56,1589368440000,42.38000000,42.41000000,42.38000000,42.38000000,146.28689000
57,1589368500000,42.38000000,42.40000000,42.37000000,42.40000000,133.13338000
58,1589368560000,42.40000000,42.43000000,42.40000000,42.43000000,278.63618000
59,1589368620000,42.43000000,42.43000000,42.39000000,42.42000000,347.82501000
60,1589368680000,42.42000000,42.44000000,42.41000000,42.42000000,66.04640000
61,1589368740000,42.42000000,42.43000000,42.36000000,42.37000000,476.69548000
62,1589368800000,42.38000000,42.42000000,42.37000000,42.38000000,254.36895000
63,1589368860000,42.39000000,42.41000000,42.35000000,42.35000000,76.45345000
64,1589368920000,42.37000000,42.38000000,42.32000000,42.33000000,271.77096000
65,1589368980000,42.32000000,42.33000000,42.26000000,42.32000000,807.59077000
66,1589369040000,42.31000000,42.34000000,42.30000000,42.32000000,179.99510000
67,1589369100000,42.31000000,42.34000000,42.29000000,42.32000000,39.49428000
