,_t,_o,_h,_l,_c,_v
0,1589068800000,0.21642000,0.21645000,0.21600000,0.21643000,404058.60000000
1,1589068860000,0.21645000,0.21651000,0.21613000,0.21618000,100038.50000000
2,1589068920000,0.21618000,0.21634000,0.21554000,0.21565000,452632.20000000
3,1589068980000,0.21576000,0.21579000,0.21512000,0.21521000,697004.70000000
4,1589069040000,0.21517000,0.21552000,0.21419000,0.21431000,1701102.00000000
5,1589069100000,0.21431000,0.21460000,0.21359000,0.21434000,1423319.80000000
6,1589069160000,0.21441000,0.21452000,0.21354000,0.21441000,966428.30000000
7,1589069220000,0.21441000,0.21473000,0.21433000,0.21438000,297728.70000000
8,1589069280000,0.21446000,0.21446000,0.21407000,0.21434000,223652.60000000
9,1589069340000,0.21438000,0.21468000,0.21429000,0.21429000,115144.50000000
10,1589069400000,0.21429000,0.21429000,0.21405000,0.21425000,132592.40000000
11,1589069460000,0.21425000,0.21451000,0.21420000,0.21441000,180900.40000000
12,1589069520000,0.21447000,0.21448000,0.21422000,0.21430000,108976.40000000
13,1589069580000,0.21432000,0.21445000,0.21353000,0.21378000,346171.30000000
14,1589069640000,0.21387000,0.21418000,0.21170000,0.21170000,1363367.30000000
15,1589069700000,0.21170000,0.21179000,0.20734000,0.20886000,3641209.90000000
16,1589069760000,0.20885000,0.20954000,0.20775000,0.20775000,1857427.10000000
17,1589069820000,0.20763000,0.20786000,0.20010000,0.20052000,5596567.90000000
18,1589069880000,0.20090000,0.20272000,0.19693000,0.19780000,3872480.40000000
19,1589069940000,0.19720000,0.19721000,0.19131000,0.19278000,2176656.10000000
20,1589070000000,0.19273000,0.19273000,0.18408000,0.18500000,3694927.70000000
21,1589070060000,0.18408000,0.18499000,0.17800000,0.18099000,3539332.80000000
22,1589070120000,0.18039000,0.18836000,0.17885000,0.18800000,3087728.30000000
23,1589070180000,0.18801000,0.19324000,0.18800000,0.19276000,3018711.30000000
24,1589070240000,0.19276000,0.19335000,0.19123000,0.19132000,1698234.80000000
25,1589070300000,0.19134000,0.19226000,0.19000000,0.19210000,1690195.70000000
26,1589070360000,0.19210000,0.19277000,0.19058000,0.19273000,2504119.20000000
27,1589070420000,0.19250000,0.19391000,0.19108000,0.19157000,2625181.10000000
28,1589070480000,0.19159000,0.19204000,0.19036000,0.19072000,2229868.60000000
29,1589070540000,0.19091000,0.19151000,0.19024000,0.19029000,1367474.40000000
30,1589070600000,0.19026000,0.19136000,0.18882000,0.19057000,1729907.10000000
31,1589070660000,0.19136000,0.19151000,0.19026000,0.19100000,1846126.70000000
32,1589070720000,0.19097000,0.19368000,0.19074000,0.19351000,1297467.40000000
33,1589070780000,0.19345000,0.19445000,0.19320000,0.19445000,1581831.40000000
34,1589070840000,0.19451000,0.19521000,0.19404000,0.19489000,1025497.90000000
