,_t,_o,_h,_l,_c,_v
0,1589365080000,2.52250000,2.52250000,2.52250000,2.52250000,0.00000000
1,1589365140000,2.52250000,2.52250000,2.52250000,2.52250000,0.00000000
2,1589365200000,2.52370000,2.52600000,2.52370000,2.52600000,4557.43000000
3,1589365260000,2.52530000,2.52530000,2.52530000,2.52530000,400.46000000
4,1589365320000,2.52530000,2.52630000,2.52530000,2.52630000,2571.71000000
5,1589365380000,2.52590000,2.52590000,2.52590000,2.52590000,27.74000000
6,1589365440000,2.52590000,2.52590000,2.52420000,2.52420000,651.53000000
7,1589365500000,2.52420000,2.52420000,2.52180000,2.52380000,4843.44000000
8,1589365560000,2.52390000,2.52390000,2.52220000,2.52270000,298.49000000
9,1589365620000,2.52260000,2.52260000,2.52260000,2.52260000,66.69000000
10,1589365680000,2.52050000,2.52050000,2.51610000,2.51870000,2254.35000000
11,1589365740000,2.51820000,2.51870000,2.51700000,2.51870000,2316.06000000
12,1589365800000,2.51640000,2.51640000,2.51330000,2.51330000,565.19000000
13,1589365860000,2.51500000,2.51720000,2.51500000,2.51720000,2552.17000000
14,1589365920000,2.51640000,2.51740000,2.51620000,2.51740000,241.74000000
15,1589365980000,2.51540000,2.51570000,2.51290000,2.51570000,534.64000000
16,1589366040000,2.51630000,2.51630000,2.51420000,2.51500000,743.28000000
17,1589366100000,2.51640000,2.51860000,2.51640000,2.51850000,720.27000000
18,1589366160000,2.51880000,2.51880000,2.51880000,2.51880000,136.66000000
19,1589366220000,2.51910000,2.52050000,2.51910000,2.52030000,552.22000000
20,1589366280000,2.51920000,2.52120000,2.51920000,2.52120000,395.55000000
21,1589366340000,2.51920000,2.52130000,2.51920000,2.51930000,99.56000000
22,1589366400000,2.52140000,2.52180000,2.52020000,2.52020000,158.38000000
23,1589366460000,2.52230000,2.52360000,2.52230000,2.52250000,2778.99000000
24,1589366520000,2.52380000,2.52570000,2.52380000,2.52570000,3272.73000000
25,1589366580000,2.52550000,2.52580000,2.52470000,2.52470000,575.38000000
26,1589366640000,2.52480000,2.52480000,2.52480000,2.52480000,239.00000000
27,1589366700000,2.52470000,2.52470000,2.52470000,2.52470000,497.34000000
28,1589366760000,2.52410000,2.52410000,2.52140000,2.52140000,3903.84000000
29,1589366820000,2.52330000,2.52430000,2.52330000,2.52430000,1125.44000000
30,1589366880000,2.52430000,2.52430000,2.52430000,2.52430000,0.00000000
31,1589366940000,2.52420000,2.52430000,2.52420000,2.52430000,10.14000000
32,1589367000000,2.52430000,2.52800000,2.52430000,2.52800000,4143.30000000
33,1589367060000,2.52900000,2.53000000,2.52800000,2.52800000,364.82000000
34,1589367120000,2.52810000,2.53000000,2.52570000,2.52900000,4765.90000000
35,1589367180000,2.52660000,2.52660000,2.52490000,2.52490000,723.97000000
36,1589367240000,2.52470000,2.52560000,2.52390000,2.52500000,3341.94000000
37,1589367300000,2.52370000,2.52470000,2.52160000,2.52470000,4417.42000000
38,1589367360000,2.52500000,2.52500000,2.52500000,2.52500000,4403.34000000
39,1589367420000,2.52520000,2.52520000,2.52490000,2.52490000,221.38000000
40,1589367480000,2.52500000,2.52710000,2.52500000,2.52710000,356.50000000
41,1589367540000,2.52590000,2.52590000,2.52290000,2.52290000,3452.08000000
42,1589367600000,2.52300000,2.52750000,2.52160000,2.52750000,26421.70000000
43,1589367660000,2.52490000,2.52630000,2.52310000,2.52310000,8617.61000000
44,1589367720000,2.52350000,2.52520000,2.52340000,2.52500000,1239.10000000
45,1589367780000,2.52500000,2.52740000,2.52500000,2.52740000,5905.31000000
46,1589367840000,2.52740000,2.52750000,2.52040000,2.52070000,11643.56000000
47,1589367900000,2.52250000,2.52310000,2.52030000,2.52030000,441.93000000
48,1589367960000,2.52030000,2.52030000,2.51910000,2.52000000,17258.32000000
49,1589368020000,2.51910000,2.52000000,2.51900000,2.52000000,3504.05000000
50,1589368080000,2.52000000,2.52000000,2.51820000,2.51990000,1422.72000000
51,1589368140000,2.51990000,2.51990000,2.51990000,2.51990000,0.00000000
52,1589368200000,2.51980000,2.52000000,2.51980000,2.51980000,10506.65000000
53,1589368260000,2.51980000,2.52000000,2.51750000,2.52000000,9642.14000000
54,1589368320000,2.52000000,2.52000000,2.51660000,2.51660000,12451.99000000
55,1589368380000,2.51660000,2.51660000,2.51310000,2.51500000,15442.38000000
56,1589368440000,2.51500000,2.51660000,2.51300000,2.51350000,18256.47000000
57,1589368500000,2.51440000,2.51450000,2.50840000,2.50900000,22777.25000000
58,1589368560000,2.50900000,2.51000000,2.50560000,2.51000000,38238.08000000
59,1589368620000,2.51000000,2.51600000,2.51000000,2.51430000,3784.09000000
60,1589368680000,2.51420000,2.51850000,2.51270000,2.51820000,4505.60000000
61,1589368740000,2.51810000,2.51870000,2.51330000,2.51330000,19097.55000000
62,1589368800000,2.51330000,2.51940000,2.51320000,2.51610000,1262.24000000
63,1589368860000,2.51650000,2.51840000,2.51610000,2.51610000,301.41000000
64,1589368920000,2.51650000,2.51990000,2.51650000,2.51770000,249.08000000
65,1589368980000,2.51770000,2.51770000,2.51320000,2.51370000,3885.16000000
66,1589369040000,2.51480000,2.51630000,2.51480000,2.51530000,31.76000000
67,1589369100000,2.51690000,2.52180000,2.51560000,2.52160000,4196.97000000
68,1589369160000,2.52160000,2.52160000,2.51920000,2.51920000,2343.15000000
69,1589369220000,2.52090000,2.52310000,2.51980000,2.52140000,468.65000000
70,1589369280000,2.52150000,2.52180000,2.52080000,2.52180000,627.97000000
71,1589369340000,2.51980000,2.52160000,2.51920000,2.51920000,1906.94000000
72,1589369400000,2.51920000,2.52100000,2.51530000,2.51970000,5313.26000000
73,1589369460000,2.51970000,2.52230000,2.51970000,2.52170000,631.08000000
74,1589369520000,2.52170000,2.52460000,2.52050000,2.52290000,2412.95000000
75,1589369580000,2.52280000,2.52280000,2.52010000,2.52010000,510.27000000
76,1589369640000,2.52180000,2.52240000,2.52180000,2.52220000,251.71000000
77,1589369700000,2.52240000,2.52260000,2.52240000,2.52260000,891.18000000
78,1589369760000,2.52380000,2.52380000,2.52330000,2.52330000,905.08000000
79,1589369820000,2.52390000,2.52750000,2.52390000,2.52560000,4017.36000000
80,1589369880000,2.52570000,2.52590000,2.52570000,2.52590000,243.35000000
81,1589369940000,2.52740000,2.53000000,2.52500000,2.52690000,8229.96000000
82,1589370000000,2.52710000,2.52930000,2.52630000,2.52930000,1214.67000000
83,1589370060000,2.52710000,2.52710000,2.52710000,2.52710000,5.81000000
84,1589370120000,2.52840000,2.52880000,2.52700000,2.52880000,1364.60000000
85,1589370180000,2.52880000,2.52880000,2.52880000,2.52880000,0.00000000
86,1589370240000,2.52730000,2.52730000,2.52720000,2.52720000,116.25000000
87,1589370300000,2.52910000,2.53190000,2.52810000,2.52910000,12344.94000000
88,1589370360000,2.52720000,2.53300000,2.52600000,2.53200000,3425.38000000
89,1589370420000,2.53080000,2.53680000,2.52970000,2.53110000,11026.09000000
90,1589370480000,2.52920000,2.53530000,2.52780000,2.53390000,2060.50000000
91,1589370540000,2.53170000,2.53170000,2.53100000,2.53140000,584.00000000
92,1589370600000,2.53200000,2.53380000,2.53200000,2.53250000,1663.53000000
93,1589370660000,2.53250000,2.53370000,2.53120000,2.53370000,1918.26000000
94,1589370720000,2.53340000,2.53650000,2.53190000,2.53190000,4082.41000000
95,1589370780000,2.53260000,2.53300000,2.53260000,2.53300000,36.30000000
96,1589370840000,2.53300000,2.53490000,2.53300000,2.53490000,1963.98000000
97,1589370900000,2.53310000,2.53400000,2.53290000,2.53290000,1752.68000000
98,1589370960000,2.53250000,2.53440000,2.53250000,2.53440000,209.35000000
99,1589371020000,2.53510000,2.53680000,2.53420000,2.53680000,4029.98000000
100,1589371080000,2.53680000,2.53820000,2.53630000,2.53730000,2081.77000000
101,1589371140000,2.53820000,2.54200000,2.53700000,2.53810000,22283.77000000
102,1589371200000,2.53800000,2.54300000,2.53800000,2.54060000,4893.09000000
103,1589371260000,2.54130000,2.54210000,2.54000000,2.54210000,833.86000000
104,1589371320000,2.54230000,2.54230000,2.53460000,2.53720000,5470.91000000
105,1589371380000,2.53720000,2.54070000,2.53650000,2.54070000,3684.18000000
106,1589371440000,2.54050000,2.54230000,2.53880000,2.54020000,1499.45000000
107,1589371500000,2.53950000,2.54090000,2.53950000,2.54090000,1708.22000000
108,1589371560000,2.53950000,2.54170000,2.53950000,2.53970000,3670.03000000
109,1589371620000,2.53960000,2.54160000,2.53960000,2.54160000,695.80000000
110,1589371680000,2.54180000,2.54270000,2.54070000,2.54270000,1256.25000000
111,1589371740000,2.54090000,2.54100000,2.53620000,2.53800000,4389.93000000
112,1589371800000,2.53910000,2.53950000,2.53750000,2.53930000,946.32000000
113,1589371860000,2.53750000,2.53820000,2.53680000,2.53810000,3566.90000000
114,1589371920000,2.53810000,2.53810000,2.53670000,2.53670000,378.29000000
115,1589371980000,2.53710000,2.53800000,2.53610000,2.53610000,2627.18000000
116,1589372040000,2.53810000,2.54000000,2.53810000,2.53810000,3834.37000000
117,1589372100000,2.53810000,2.54360000,2.53810000,2.54170000,3205.88000000
118,1589372160000,2.54090000,2.54180000,2.54020000,2.54180000,651.02000000
119,1589372220000,2.54180000,2.54250000,2.54180000,2.54190000,1717.96000000
120,1589372280000,2.54190000,2.54500000,2.54190000,2.54470000,4130.27000000
121,1589372340000,2.54450000,2.54520000,2.54190000,2.54190000,8585.35000000
122,1589372400000,2.54220000,2.54220000,2.54180000,2.54180000,5664.39000000
123,1589372460000,2.54180000,2.54400000,2.54180000,2.54180000,1023.19000000
124,1589372520000,2.54180000,2.54190000,2.54180000,2.54190000,237.66000000
125,1589372580000,2.54190000,2.54400000,2.54180000,2.54180000,665.10000000
126,1589372640000,2.54180000,2.54400000,2.54180000,2.54180000,686.46000000
127,1589372700000,2.54390000,2.54390000,2.54390000,2.54390000,106.88000000
128,1589372760000,2.54410000,2.54410000,2.54410000,2.54410000,409.91000000
129,1589372820000,2.54300000,2.54330000,2.54300000,2.54320000,1122.09000000
130,1589372880000,2.54320000,2.54320000,2.54320000,2.54320000,1580.23000000
131,1589372940000,2.54240000,2.54250000,2.54230000,2.54230000,2303.17000000
132,1589373000000,2.54230000,2.54340000,2.54180000,2.54190000,1185.96000000
133,1589373060000,2.54190000,2.54360000,2.54190000,2.54360000,39.67000000
134,1589373120000,2.54360000,2.54370000,2.54360000,2.54360000,600.61000000
135,1589373180000,2.54410000,2.54410000,2.54410000,2.54410000,6.33000000
136,1589373240000,2.54370000,2.54370000,2.54370000,2.54370000,10.21000000
137,1589373300000,2.54360000,2.54360000,2.54190000,2.54360000,1347.96000000
138,1589373360000,2.54190000,2.54370000,2.54190000,2.54190000,1221.56000000
139,1589373420000,2.54190000,2.54350000,2.54180000,2.54180000,3125.96000000
140,1589373480000,2.54180000,2.54550000,2.54180000,2.54300000,6018.69000000
141,1589373540000,2.54520000,2.54800000,2.54320000,2.54770000,4889.76000000
142,1589373600000,2.54750000,2.54790000,2.54520000,2.54520000,2146.79000000
143,1589373660000,2.54540000,2.54740000,2.54530000,2.54550000,2325.87000000
144,1589373720000,2.54560000,2.54900000,2.54560000,2.54900000,7687.92000000
145,1589373780000,2.54900000,2.55700000,2.54830000,2.55110000,14436.25000000
146,1589373840000,2.55330000,2.55970000,2.55330000,2.55470000,4993.46000000
147,1589373900000,2.55670000,2.55890000,2.55270000,2.55270000,3453.07000000
148,1589373960000,2.55270000,2.55640000,2.55270000,2.55380000,1582.58000000
149,1589374020000,2.55380000,2.55630000,2.55300000,2.55630000,2565.92000000
150,1589374080000,2.55550000,2.55800000,2.55450000,2.55800000,2666.68000000
151,1589374140000,2.55810000,2.56340000,2.55810000,2.55960000,5555.81000000
152,1589374200000,2.56000000,2.56350000,2.56000000,2.56350000,4836.18000000
153,1589374260000,2.56380000,2.56570000,2.56120000,2.56130000,13722.61000000
154,1589374320000,2.56310000,2.56560000,2.56260000,2.56280000,1955.31000000
155,1589374380000,2.56280000,2.56800000,2.56140000,2.56790000,24385.45000000
156,1589374440000,2.56570000,2.56830000,2.56460000,2.56830000,5082.63000000
157,1589374500000,2.56830000,2.56840000,2.56330000,2.56590000,9737.05000000
158,1589374560000,2.56590000,2.56820000,2.56550000,2.56820000,1867.21000000
159,1589374620000,2.56570000,2.56570000,2.56020000,2.56040000,10157.11000000
160,1589374680000,2.56200000,2.56250000,2.56030000,2.56250000,5999.87000000
161,1589374740000,2.56240000,2.56250000,2.56240000,2.56250000,1528.12000000
162,1589374800000,2.56250000,2.56750000,2.56250000,2.56350000,12438.87000000
163,1589374860000,2.56330000,2.56330000,2.56020000,2.56100000,7199.78000000
164,1589374920000,2.56100000,2.56280000,2.55410000,2.55660000,31304.09000000
165,1589374980000,2.55690000,2.55840000,2.55230000,2.55550000,8995.91000000
166,1589375040000,2.55440000,2.55440000,2.55290000,2.55290000,3365.73000000
167,1589375100000,2.55290000,2.55320000,2.55070000,2.55320000,11549.83000000
168,1589375160000,2.55300000,2.55410000,2.55100000,2.55300000,2183.83000000
169,1589375220000,2.55270000,2.55490000,2.55270000,2.55490000,8717.30000000
170,1589375280000,2.55480000,2.55500000,2.55320000,2.55330000,2050.10000000
171,1589375340000,2.55120000,2.55120000,2.55040000,2.55050000,1239.67000000
172,1589375400000,2.55230000,2.55450000,2.55230000,2.55440000,1629.41000000
173,1589375460000,2.55450000,2.55450000,2.55350000,2.55360000,1254.53000000
174,1589375520000,2.55480000,2.55490000,2.55300000,2.55370000,579.14000000
175,1589375580000,2.55340000,2.55420000,2.55250000,2.55420000,2350.52000000
176,1589375640000,2.55260000,2.55260000,2.55010000,2.55210000,4960.73000000
177,1589375700000,2.55220000,2.55220000,2.55210000,2.55210000,445.65000000
178,1589375760000,2.55330000,2.55380000,2.55180000,2.55180000,760.04000000
179,1589375820000,2.55250000,2.55250000,2.55170000,2.55210000,1986.26000000
180,1589375880000,2.55200000,2.55200000,2.55000000,2.55000000,9649.34000000
181,1589375940000,2.55080000,2.55150000,2.54920000,2.55150000,2451.22000000
182,1589376000000,2.54940000,2.55140000,2.54940000,2.55140000,65.30000000
183,1589376060000,2.55150000,2.55390000,2.55150000,2.55310000,1297.31000000
184,1589376120000,2.55410000,2.55410000,2.55310000,2.55310000,174.21000000
185,1589376180000,2.55410000,2.55410000,2.55310000,2.55310000,4655.95000000
186,1589376240000,2.55310000,2.55470000,2.55310000,2.55460000,2553.67000000
187,1589376300000,2.55320000,2.55540000,2.55320000,2.55430000,2311.51000000
188,1589376360000,2.55630000,2.55760000,2.55560000,2.55720000,817.35000000
189,1589376420000,2.55670000,2.55670000,2.55410000,2.55420000,3767.88000000
190,1589376480000,2.55650000,2.55670000,2.55650000,2.55660000,2327.49000000
191,1589376540000,2.55640000,2.55640000,2.55600000,2.55600000,708.06000000
192,1589376600000,2.55650000,2.55680000,2.55480000,2.55500000,5845.36000000
193,1589376660000,2.55460000,2.55850000,2.55420000,2.55850000,6121.82000000
194,1589376720000,2.55650000,2.55790000,2.55650000,2.55790000,1011.98000000
195,1589376780000,2.55770000,2.55770000,2.55650000,2.55770000,640.77000000
196,1589376840000,2.55770000,2.55770000,2.55650000,2.55660000,2151.87000000
197,1589376900000,2.55660000,2.55660000,2.55620000,2.55620000,3883.28000000
198,1589376960000,2.55570000,2.55710000,2.55500000,2.55670000,1999.53000000
199,1589377020000,2.55540000,2.55550000,2.55540000,2.55550000,1147.69000000
200,1589377080000,2.55500000,2.55610000,2.55380000,2.55600000,3633.68000000
201,1589377140000,2.55590000,2.55590000,2.55520000,2.55520000,1704.01000000
202,1589377200000,2.55400000,2.55590000,2.55340000,2.55340000,6526.40000000
203,1589377260000,2.55370000,2.55370000,2.55070000,2.55070000,8895.03000000
204,1589377320000,2.55070000,2.55070000,2.55040000,2.55040000,1633.12000000
205,1589377380000,2.55040000,2.55440000,2.54900000,2.55390000,12135.94000000
206,1589377440000,2.55180000,2.55180000,2.55020000,2.55020000,1177.03000000
207,1589377500000,2.55040000,2.55230000,2.54980000,2.55220000,8156.75000000
208,1589377560000,2.55190000,2.55230000,2.55190000,2.55230000,65.14000000
209,1589377620000,2.55000000,2.55250000,2.55000000,2.55180000,541.33000000
210,1589377680000,2.55180000,2.55180000,2.55180000,2.55180000,200.62000000
211,1589377740000,2.55170000,2.55280000,2.55170000,2.55180000,1655.55000000
212,1589377800000,2.55280000,2.55300000,2.55280000,2.55300000,887.59000000
213,1589377860000,2.55300000,2.55610000,2.55300000,2.55610000,3671.97000000
214,1589377920000,2.55610000,2.55660000,2.55550000,2.55550000,3355.32000000
215,1589377980000,2.55550000,2.55550000,2.55550000,2.55550000,621.46000000
216,1589378040000,2.55620000,2.55620000,2.55550000,2.55550000,177.04000000
217,1589378100000,2.55630000,2.55640000,2.55550000,2.55550000,2178.64000000
218,1589378160000,2.55600000,2.55680000,2.55210000,2.55510000,2243.21000000
219,1589378220000,2.55480000,2.55530000,2.55480000,2.55530000,315.63000000
220,1589378280000,2.55520000,2.55670000,2.55520000,2.55670000,458.09000000
221,1589378340000,2.55750000,2.55750000,2.55750000,2.55750000,5.00000000
222,1589378400000,2.55730000,2.55880000,2.55700000,2.55700000,4929.90000000
223,1589378460000,2.55890000,2.55940000,2.55780000,2.55940000,796.83000000
224,1589378520000,2.55970000,2.56000000,2.55900000,2.55990000,6731.80000000
225,1589378580000,2.56000000,2.56480000,2.56000000,2.56470000,10563.90000000
226,1589378640000,2.56480000,2.56590000,2.56280000,2.56280000,1935.72000000
227,1589378700000,2.56290000,2.56670000,2.56280000,2.56670000,1190.10000000
228,1589378760000,2.56640000,2.56990000,2.56640000,2.56740000,718.70000000
229,1589378820000,2.56870000,2.57200000,2.56670000,2.57110000,18426.08000000
230,1589378880000,2.56900000,2.57100000,2.56670000,2.56670000,1673.11000000
231,1589378940000,2.56680000,2.56680000,2.56650000,2.56680000,1622.86000000
232,1589379000000,2.56700000,2.56720000,2.56680000,2.56720000,525.78000000
233,1589379060000,2.56880000,2.56880000,2.56670000,2.56670000,1428.15000000
234,1589379120000,2.56730000,2.57100000,2.56730000,2.56960000,1126.72000000
235,1589379180000,2.57100000,2.57220000,2.56800000,2.56900000,10671.04000000
236,1589379240000,2.57100000,2.57120000,2.56910000,2.57120000,2334.69000000
237,1589379300000,2.57130000,2.57250000,2.57000000,2.57020000,11935.51000000
238,1589379360000,2.57020000,2.57150000,2.56960000,2.56970000,2843.28000000
239,1589379420000,2.57120000,2.57230000,2.56960000,2.57000000,5150.04000000
240,1589379480000,2.56990000,2.57250000,2.56960000,2.57210000,8427.97000000
241,1589379540000,2.57220000,2.57230000,2.56920000,2.57150000,4525.22000000
242,1589379600000,2.57220000,2.57220000,2.57000000,2.57000000,2457.45000000
243,1589379660000,2.57180000,2.57200000,2.57000000,2.57190000,1515.95000000
244,1589379720000,2.57190000,2.57250000,2.57070000,2.57250000,5686.57000000
245,1589379780000,2.57240000,2.57340000,2.57130000,2.57340000,8622.02000000
246,1589379840000,2.57340000,2.57340000,2.56840000,2.57200000,3991.03000000
247,1589379900000,2.57070000,2.57100000,2.56920000,2.57070000,1246.21000000
248,1589379960000,2.57070000,2.57070000,2.56730000,2.56880000,2048.13000000
249,1589380020000,2.56740000,2.57110000,2.56670000,2.57000000,20616.54000000
250,1589380080000,2.57000000,2.57100000,2.56940000,2.57100000,2340.76000000
251,1589380140000,2.56900000,2.56910000,2.56520000,2.56520000,11202.20000000
252,1589380200000,2.56660000,2.57000000,2.56660000,2.56900000,5852.07000000
253,1589380260000,2.56910000,2.57100000,2.56820000,2.57000000,7720.69000000
254,1589380320000,2.57000000,2.57080000,2.56720000,2.56960000,6394.71000000
255,1589380380000,2.56960000,2.57100000,2.56810000,2.56810000,5147.49000000
256,1589380440000,2.57030000,2.57090000,2.56900000,2.56920000,397.34000000
257,1589380500000,2.56940000,2.57090000,2.56940000,2.57090000,410.86000000
258,1589380560000,2.57080000,2.57080000,2.56860000,2.56860000,5974.63000000
259,1589380620000,2.56900000,2.56900000,2.55820000,2.55820000,7987.54000000
260,1589380680000,2.55960000,2.56340000,2.55960000,2.56240000,1606.69000000
261,1589380740000,2.56130000,2.56130000,2.55760000,2.55900000,3989.23000000
262,1589380800000,2.55900000,2.56010000,2.55900000,2.55900000,926.06000000
263,1589380860000,2.56020000,2.56020000,2.56010000,2.56020000,265.00000000
264,1589380920000,2.56040000,2.56160000,2.56040000,2.56100000,338.33000000
265,1589380980000,2.56110000,2.56110000,2.55940000,2.55940000,594.82000000
266,1589381040000,2.56170000,2.56170000,2.56150000,2.56150000,430.68000000
267,1589381100000,2.56000000,2.56000000,2.55780000,2.55920000,1272.42000000
268,1589381160000,2.55850000,2.55850000,2.55460000,2.55460000,9869.76000000
269,1589381220000,2.55430000,2.55530000,2.55300000,2.55530000,1136.34000000
270,1589381280000,2.55400000,2.55690000,2.55020000,2.55690000,7089.72000000
271,1589381340000,2.55460000,2.55930000,2.55450000,2.55500000,10154.64000000
272,1589381400000,2.55730000,2.55970000,2.55580000,2.55970000,1087.79000000
273,1589381460000,2.56040000,2.56040000,2.55720000,2.55790000,1972.92000000
274,1589381520000,2.55850000,2.55960000,2.55850000,2.55960000,1166.38000000
275,1589381580000,2.55860000,2.55860000,2.55860000,2.55860000,475.29000000
276,1589381640000,2.55900000,2.55900000,2.55900000,2.55900000,30.31000000
277,1589381700000,2.56000000,2.56030000,2.55890000,2.55900000,4480.98000000
278,1589381760000,2.55890000,2.55900000,2.55790000,2.55790000,735.74000000
279,1589381820000,2.55750000,2.55840000,2.55750000,2.55840000,1469.79000000
280,1589381880000,2.55800000,2.55900000,2.55800000,2.55900000,1882.13000000
281,1589381940000,2.55900000,2.56020000,2.55900000,2.56020000,276.93000000
282,1589382000000,2.56110000,2.56690000,2.56040000,2.56690000,9178.18000000
283,1589382060000,2.56680000,2.56950000,2.56680000,2.56770000,7981.19000000
284,1589382120000,2.56770000,2.57100000,2.56610000,2.56950000,5870.87000000
285,1589382180000,2.56980000,2.56980000,2.56600000,2.56840000,14925.18000000
286,1589382240000,2.56840000,2.56990000,2.56830000,2.56830000,2022.43000000
287,1589382300000,2.56830000,2.56870000,2.56800000,2.56870000,8347.04000000
288,1589382360000,2.56800000,2.56970000,2.56800000,2.56810000,2123.68000000
289,1589382420000,2.56800000,2.56960000,2.56800000,2.56800000,1049.53000000
290,1589382480000,2.56840000,2.57010000,2.56840000,2.57010000,1424.17000000
291,1589382540000,2.57010000,2.57100000,2.56940000,2.57100000,7139.80000000
292,1589382600000,2.57100000,2.57100000,2.57100000,2.57100000,2833.15000000
293,1589382660000,2.57100000,2.57220000,2.57010000,2.57100000,6774.82000000
294,1589382720000,2.57220000,2.57300000,2.57100000,2.57110000,6392.80000000
295,1589382780000,2.57100000,2.57200000,2.57100000,2.57170000,1866.79000000
296,1589382840000,2.57180000,2.57330000,2.57160000,2.57160000,4781.12000000
297,1589382900000,2.57180000,2.57340000,2.57180000,2.57230000,187.55000000
298,1589382960000,2.57340000,2.57470000,2.57220000,2.57470000,5089.90000000
299,1589383020000,2.57350000,2.57700000,2.57180000,2.57180000,7597.13000000
300,1589383080000,2.57160000,2.57160000,2.57130000,2.57130000,10473.85000000
301,1589383140000,2.57130000,2.57220000,2.56880000,2.57220000,4189.12000000
302,1589383200000,2.57040000,2.57360000,2.57040000,2.57350000,1426.62000000
303,1589383260000,2.57340000,2.57340000,2.57090000,2.57090000,3953.12000000
304,1589383320000,2.57090000,2.57090000,2.56840000,2.57080000,1785.77000000
305,1589383380000,2.56900000,2.57030000,2.56850000,2.57010000,2292.48000000
306,1589383440000,2.57030000,2.57090000,2.56940000,2.56940000,1729.33000000
307,1589383500000,2.57000000,2.57120000,2.56800000,2.56800000,3923.97000000
308,1589383560000,2.56820000,2.56820000,2.56820000,2.56820000,67.67000000
309,1589383620000,2.56850000,2.57010000,2.56850000,2.56870000,1407.55000000
