,_p,_v,_t
0,69.53,0.15821,1589246661164
1,69.6,0.5,1589246671115
2,69.6,2.09127,1589246673823
3,69.6,4.34494,1589246673832
4,69.6,1.825,1589246673837
5,69.6,0.6039,1589246673838
6,69.6,1.664,1589246734624
7,69.61,1.6646,1589246750448
8,69.6,0.52613,1589246752996
9,69.66,0.2,1589246809877
10,69.66,1.23379,1589246825918
11,69.66,0.42737,1589246852535
12,69.68,3.3,1589246857383
13,69.66,1.12692,1589246898065
14,69.66,6.016,1589246923433
15,69.66,1.825,1589246947116
16,69.66,4.3386,1589246947130
17,69.66,1.82497,1589246947150
18,69.69,12.57386,1589247023242
19,69.7,17.87433,1589247023242
20,69.71,23.26892,1589247023242
21,69.72,5.0,1589247023242
22,69.72,23.76647,1589247023251
23,69.71,4.67533,1589247024657
24,69.72,1.66222,1589247024657
25,69.72,10.0,1589247024665
26,69.72,66.14603,1589247024669
27,69.71,1.02376,1589247039033
28,69.66,0.18662,1589247046848
29,69.63,0.31338,1589247046848
30,69.7,4.71833,1589247049930
31,69.71,0.3744,1589247049930
32,69.72,0.18676,1589247049930
33,69.67,0.5,1589247057903
34,69.72,8.16077,1589247080110
35,69.72,0.5,1589247083532
36,69.71,0.26087,1589247083711
37,69.7,0.27336,1589247084013
38,69.7,0.20574,1589247084253
39,69.7,0.34598,1589247084614
40,69.7,0.26199,1589247084851
41,69.7,0.36915,1589247087349
42,69.69,0.2117,1589247087724
43,69.7,0.35535,1589247088062
44,69.7,0.34478,1589247088512
45,69.71,0.2331,1589247090938
46,69.77,0.49999,1589247120363
47,69.8,0.58239,1589247129305
48,69.8,4.0,1589247137134
49,69.8,4.0,1589247137873
50,69.8,4.0,1589247137916
51,69.8,3.459,1589247138128
52,69.8,4.0,1589247138296
53,69.8,0.41898,1589247138300
54,69.81,0.16451,1589247138390
55,69.8,4.0,1589247139483
56,69.8,0.5,1589247139547
57,69.8,4.0,1589247140889
58,69.8,4.0,1589247140923
59,69.8,4.0,1589247140979
60,69.8,4.0,1589247141036
61,69.8,2.63282,1589247142683
62,69.82,7.88853,1589247147989
63,69.82,3.65,1589247147998
64,69.82,75.0,1589247148000
65,69.82,8.95223,1589247148009
66,69.82,0.4929,1589247148012
67,69.82,0.31162,1589247148025
68,69.85,18.28475,1589247148267
69,69.86,2.47,1589247148290
70,69.86,1.74153,1589247148361
71,69.86,5.0,1589247148374
72,69.86,5.0,1589247148377
73,69.86,11.78727,1589247148389
74,69.89,0.357,1589247150482
75,69.92,0.16573,1589247157034
76,69.92,0.16638,1589247160404
77,69.92,2.32912,1589247162931
78,69.92,2.49534,1589247167051
79,69.92,5.56822,1589247167069
80,69.93,0.35674,1589247167202
81,69.94,2.49433,1589247171150
82,69.94,2.49463,1589247175276
83,69.94,0.771,1589247175325
84,69.94,2.21243,1589247178319
85,69.95,0.162,1589247178745
86,69.93,0.787,1589247178849
87,69.95,1.70771,1589247181771
88,69.93,0.79421,1589247184818
89,69.9,8.32234,1589247197454
90,69.89,22.38231,1589247197454
91,69.88,16.14948,1589247197454
92,69.87,12.31879,1589247197454
93,69.86,20.91486,1589247197454
94,69.83,12.95159,1589247197454
95,69.82,33.23541,1589247197454
96,69.81,45.0,1589247197454
97,69.8,99.43639,1589247197454
98,69.87,26.16396,1589247197668
99,69.86,28.59743,1589247197668
100,69.85,0.82041,1589247197772
101,69.88,0.576,1589247201687
102,69.86,6.15804,1589247209220
103,69.85,70.7431,1589247209220
104,69.83,11.51651,1589247209220
105,69.82,22.91989,1589247209220
106,69.81,26.91937,1589247209220
107,69.8,87.17093,1589247209220
108,69.79,7.15665,1589247209220
109,69.77,18.5841,1589247209220
110,69.76,153.86972,1589247209220
111,69.75,28.62194,1589247209220
112,69.73,48.81,1589247209220
113,69.72,36.93606,1589247209220
114,69.71,4.91209,1589247209220
115,69.8,0.6989,1589247209470
116,69.79,0.5,1589247209511
117,69.79,2.7431,1589247209571
118,69.79,4.41407,1589247209573
119,69.78,3.0939,1589247209582
120,69.78,3.65,1589247209585
121,69.78,7.1572,1589247209588
122,69.78,0.41324,1589247209636
123,69.78,7.15717,1589247209817
124,69.75,3.213,1589247210094
125,69.74,39.8396,1589247210268
126,69.74,0.0004,1589247210282
127,69.73,6.06295,1589247210282
128,69.75,1.66091,1589247210372
129,69.76,23.4251,1589247210372
130,69.73,2.488,1589247210377
131,69.75,2.7953,1589247210384
132,69.76,5.24462,1589247210384
133,69.75,2.43276,1589247210403
134,69.72,3.93156,1589247210426
135,69.72,1.45837,1589247210734
136,69.72,0.19122,1589247217075
137,69.72,6.99264,1589247219679
138,69.68,0.19305,1589247220449
139,69.74,2.16496,1589247220786
140,69.81,0.17923,1589247226397
141,69.73,2.2248,1589247229267
142,69.73,0.2659,1589247229277
143,69.7,2.48742,1589247235468
144,69.71,1.43741,1589247238310
145,69.71,2.49023,1589247238398
146,69.7,2.48631,1589247247147
147,69.69,2.50076,1589247254845
148,69.69,2.4988,1589247258929
149,69.69,2.492,1589247269016
150,69.66,1.198,1589247272988
151,69.72,0.9,1589247283193
152,69.72,6.9,1589247283614
153,69.72,1.53298,1589247293588
154,69.72,2e-05,1589247304238
155,69.66,1.0,1589247314625
156,69.65,0.682,1589247329324
157,69.59,2.02075,1589247377625
158,69.58,3.16944,1589247377625
159,69.57,0.80981,1589247377625
160,69.59,0.165,1589247379088
161,69.59,5.835,1589247380142
162,69.58,0.35461,1589247395316
163,69.57,3.103,1589247417581
164,69.57,0.56351,1589247417755
165,69.58,1.66485,1589247426689
166,69.59,70.16391,1589247426689
167,69.54,0.19413,1589247463542
168,69.5,0.5,1589247487589
169,69.59,3.3,1589247529299
170,69.6,0.166,1589247574501
171,69.6,0.82419,1589247574863
172,69.56,0.5,1589247602128
173,69.56,2.8,1589247602190
174,69.45,0.165,1589247657806
175,69.49,0.16,1589247681511
176,69.5,1.04,1589247696699
177,69.45,0.5,1589247701843
178,69.45,0.5,1589247707136
179,69.43,0.5,1589247708072
180,69.45,0.99999,1589247737495
181,69.45,1e-05,1589247741686
182,69.45,0.167,1589247746415
183,69.5,1.66686,1589247818713
184,69.54,3.29996,1589247832619
185,69.54,4e-05,1589247832930
186,69.53,0.28764,1589247832930
187,69.53,1.825,1589247862498
188,69.53,1.825,1589247862515
189,69.53,7.0989,1589247862521
190,69.51,0.69677,1589247862522
191,69.53,1.82496,1589247862651
192,69.62,1.664,1589247879862
193,69.63,0.182,1589247891339
194,69.64,2.504,1589247898713
195,69.65,0.163,1589247901406
196,69.68,0.171,1589247934665
197,69.7,4.7984,1589247935011
198,69.7,1.47,1589247935072
199,69.71,0.8,1589247940334
200,69.72,0.255,1589247956122
201,69.72,6.145,1589247958335
202,69.72,3.027,1589247958346
203,69.72,3.146,1589247958434
204,69.7,1.472,1589248007826
205,69.7,0.25,1589248008867
206,69.7,0.4643,1589248072830
207,69.7,4.63895,1589248079320
208,69.71,9.06294,1589248079320
209,69.72,8.97518,1589248079320
210,69.73,5.0,1589248079320
211,69.74,4.5112,1589248079320
212,69.75,2.97691,1589248079320
213,69.76,12.40846,1589248079320
214,69.76,26.47921,1589248079329
215,69.76,3.30991,1589248079338
216,69.76,76.12772,1589248079338
217,69.7,33.67475,1589248107892
218,69.71,41.85128,1589248107892
219,69.72,8.83788,1589248107892
220,69.73,33.3921,1589248107892
221,69.74,1.66222,1589248107892
222,69.75,12.364,1589248107892
223,69.76,139.65181,1589248107892
224,69.76,0.59681,1589248118275
225,69.77,40.14,1589248118275
226,69.8,38.58443,1589248118275
227,69.81,18.93514,1589248118275
228,69.82,121.9,1589248118275
229,69.83,7.1664,1589248118275
230,69.84,21.17792,1589248118275
231,69.85,3.78309,1589248118275
232,69.87,34.86411,1589248118275
233,69.88,10.71572,1589248118275
234,69.89,6.0,1589248118275
235,69.9,10.14999,1589248118275
236,69.91,16.67663,1589248118275
237,69.92,92.78032,1589248118275
238,69.93,8.0,1589248118275
239,69.94,32.47237,1589248118275
240,69.95,19.06249,1589248118275
241,69.96,1.53821,1589248118275
242,69.97,38.44743,1589248118275
243,69.84,0.4643,1589248118400
244,69.84,6.70971,1589248118406
245,69.84,14.32673,1589248118406
246,69.87,0.41324,1589248118516
247,69.86,7.1664,1589248118529
248,69.87,6.75316,1589248118529
249,69.84,8.95288,1589248118538
250,69.84,1.32,1589248118538
251,69.84,1.218,1589248118542
252,69.84,31.18712,1589248118549
253,69.85,1.32,1589248118596
254,69.85,0.533,1589248118624
255,69.85,1.532,1589248118649
256,69.88,0.43715,1589248118835
257,69.88,6.29913,1589248118979
258,69.88,14.93981,1589248119005
259,69.88,21.10391,1589248119009
260,69.87,44.41356,1589248119031
261,69.87,6.013,1589248119046
262,69.89,1.15939,1589248119102
263,69.89,2.12919,1589248119110
264,69.89,7.08836,1589248119645
265,69.89,6.99996,1589248119653
266,69.89,6.99996,1589248119657
267,69.89,19.05172,1589248119675
268,69.94,0.69939,1589248119720
269,69.99,0.69859,1589248120638
270,69.94,6.128,1589248121332
271,69.96,0.69959,1589248122727
272,69.93,4.70468,1589248122933
273,69.93,0.69989,1589248124653
274,69.93,0.69979,1589248125745
275,69.88,8.18253,1589248128629
276,69.88,14.6,1589248128639
277,69.88,1.855,1589248128651
278,69.9,0.7,1589248128660
279,69.89,0.69969,1589248128741
280,69.88,0.69969,1589248131743
281,69.89,0.16574,1589248132858
282,69.87,2.48666,1589248143104
283,69.87,0.81334,1589248143836
284,69.88,0.15742,1589248143945
285,69.94,3.3,1589248145878
286,69.95,8.03378,1589248145913
287,69.96,5.175,1589248145930
288,69.96,0.6211,1589248146011
289,69.97,0.621,1589248146049
290,69.96,0.6211,1589248146062
291,69.98,4.84341,1589248147412
292,69.99,0.7703,1589248147639
293,70.0,10.75555,1589248148512
294,70.0,0.00011,1589248149280
295,70.01,2.54293,1589248149280
296,70.01,37.59669,1589248150012
297,70.02,40.13959,1589248151113
298,70.02,0.00041,1589248151665
299,70.05,0.58033,1589248151665
300,70.06,0.07391,1589248151665
301,70.06,0.50629,1589248153800
302,70.08,0.26099,1589248153800
303,70.06,1.65193,1589248153987
304,70.0,4.76057,1589248155310
305,69.99,6.16167,1589248155310
306,69.98,0.1657,1589248165576
307,70.03,2.48216,1589248189597
308,70.03,0.1903,1589248192880
309,70.03,1.32491,1589248200975
310,70.05,1.15783,1589248200975
311,70.04,0.37433,1589248201026
312,70.05,0.37417,1589248206704
