,_p,_v,_t
0,7.0578,39.61,1589068800217
1,7.0543,9.98,1589068800317
2,7.054,7.5,1589068802299
3,7.0535,9.05,1589068802299
4,7.0535,18.74,1589068802336
5,7.0534,41.81,1589068802824
6,7.057,6.9,1589068807484
7,7.0532,6.9,1589068807541
8,7.0522,7.5,1589068809149
9,7.053,7.49,1589068810383
10,7.0521,7.92,1589068812739
11,7.0503,100.0,1589068813264
12,7.0493,11.58,1589068813393
13,7.0493,55.75,1589068814263
14,7.0493,4.24,1589068814394
15,7.0493,14.14,1589068814539
16,7.05,7.78,1589068816359
17,7.0479,27.07,1589068829857
18,7.049,7.5,1589068831433
19,7.0508,21.22,1589068831433
20,7.0517,45.66,1589068832247
21,7.0523,36.55,1589068832300
22,7.0552,2.83,1589068848546
23,7.0556,7.5,1589068849676
24,7.0544,96.67,1589068849976
25,7.0558,7.5,1589068851399
26,7.0608,7.5,1589068856601
27,7.0608,38.56,1589068856704
28,7.0622,5.14,1589068856704
29,7.0641,70.0,1589068860176
30,7.0655,51.19,1589068860547
31,7.0618,10.58,1589068860575
32,7.0612,7.5,1589068863446
33,7.0633,7.63,1589068863489
34,7.0612,12.64,1589068863694
35,7.0612,25.5,1589068863707
36,7.0582,32.47,1589068864273
37,7.057,5.14,1589068864273
38,7.0568,22.52,1589068864373
39,7.0558,5.28,1589068864491
40,7.0551,85.11,1589068864788
41,7.0556,7.92,1589068865235
42,7.056,7.56,1589068876474
43,7.0522,19.0,1589068881305
44,7.0526,7.78,1589068882571
45,7.05,3.55,1589068882971
46,7.05,3.55,1589068883271
47,7.05,28.4,1589068883427
48,7.0499,2.45,1589068884773
49,7.0459,1.63,1589068889016
50,7.0496,30.0,1589068890184
51,7.0516,7.5,1589068899017
52,7.0577,7.5,1589068902564
53,7.0551,28.21,1589068903991
54,7.057,2.83,1589068906516
55,7.057,4.29,1589068906723
56,7.051,7.27,1589068909914
57,7.0499,7.5,1589068909914
58,7.0466,7.5,1589068917170
59,7.0467,7.15,1589068917509
60,7.0476,6.35,1589068920502
61,7.0425,25.0,1589068926973
62,7.0426,7.63,1589068927751
63,7.0425,24.84,1589068928588
64,7.0406,1.53,1589068930276
65,7.04,4.91,1589068931451
66,7.043,19.2,1589068931544
67,7.0442,3.16,1589068937604
68,7.041,7.2,1589068942534
69,7.04,34.39,1589068942831
70,7.04,25.0,1589068942832
