,_p,_v,_t
0,3.6801,108.0,1589365066038
1,3.6801,1250.0,1589365066133
2,3.6801,149.0,1589365066187
3,3.6801,11.31,1589365066190
4,3.6798,18.95,1589365066233
5,3.6798,18.05,1589365066233
6,3.68,31.0,1589365072373
7,3.6802,69.6,1589365072445
8,3.6804,40.4,1589365072445
9,3.6804,90.0,1589365072696
10,3.68,8.0,1589365075888
11,3.68,3.0,1589365077688
12,3.6803,40.0,1589365165751
13,3.681,149.27,1589365173411
14,3.682,47.36,1589365173444
15,3.6808,47.0,1589365174851
16,3.6807,259.0,1589365174960
17,3.6803,13.0,1589365198416
18,3.6816,67.65,1589365329974
19,3.682,495.0,1589365329974
20,3.6826,991.93,1589365329974
21,3.684,482.0,1589365329974
22,3.6845,407.12,1589365329974
23,3.6846,1357.51,1589365329974
24,3.6847,374.31,1589365329974
25,3.6848,406.58,1589365329974
26,3.6849,407.12,1589365329974
27,3.6851,47.27,1589365329974
28,3.6852,135.81,1589365329974
29,3.6854,1007.02,1589365329974
30,3.6855,47.22,1589365329974
31,3.6857,404.0,1589365329974
32,3.6858,1024.91,1589365329974
33,3.6843,78.31,1589365333387
34,3.6842,48.6,1589365333387
35,3.684,23.6,1589365333387
36,3.6839,991.93,1589365333387
37,3.6838,27.93,1589365333387
38,3.6832,388.0,1589365333387
39,3.6827,600.0,1589365333387
40,3.6824,116.0,1589365333387
41,3.6823,149.27,1589365333387
42,3.6819,385.0,1589365333387
43,3.6817,387.0,1589365333387
44,3.6814,391.0,1589365333387
45,3.6812,130.87,1589365333387
46,3.681,1464.34,1589365333387
47,3.6809,130.87,1589365333387
48,3.6806,1007.53,1589365333387
49,3.6803,1327.54,1589365333387
50,3.6826,47.26,1589365334184
51,3.6835,63.27,1589365338800
52,3.6836,22.83,1589365338800
53,3.6837,125.51,1589365338800
54,3.6846,991.93,1589365338800
55,3.685,971.0,1589365338800
56,3.6851,731.57,1589365338800
57,3.6857,272.43,1589365338800
58,3.6858,242.09,1589365338800
59,3.6861,392.0,1589365338800
60,3.6863,1893.04,1589365338800
61,3.6871,13.58,1589365338800
62,3.6872,600.0,1589365338800
63,3.6873,406.89,1589365338800
64,3.6874,183.02,1589365338800
65,3.6878,406.77,1589365338800
66,3.688,314.49,1589365338800
67,3.688,20.0,1589365338824
68,3.6849,450.56,1589365343014
69,3.6851,101.04,1589365343495
70,3.685,87.4,1589365343495
71,3.6849,1043.77,1589365343495
72,3.684,272.43,1589365343495
73,3.6839,3.07,1589365343495
74,3.6838,272.43,1589365343495
75,3.6837,380.59,1589365343495
76,3.6824,600.0,1589365343495
77,3.6821,543.17,1589365343495
78,3.682,407.37,1589365343495
79,3.6815,407.34,1589365343495
80,3.6814,61.38,1589365343495
81,3.6813,380.0,1589365343495
82,3.6812,2187.32,1589365343495
83,3.681,875.48,1589365343495
84,3.6853,47.26,1589365344505
85,3.6857,13.5,1589365348467
86,3.6857,42.99,1589365348629
87,3.6858,56.5,1589365348629
88,3.6859,149.27,1589365348629
89,3.686,28.07,1589365348629
90,3.6861,991.93,1589365348629
91,3.6863,390.0,1589365348629
92,3.6865,272.43,1589365348629
93,3.6867,272.43,1589365348629
94,3.6869,600.0,1589365348629
95,3.687,916.04,1589365348629
96,3.6877,389.0,1589365348629
97,3.688,899.61,1589365348629
98,3.6881,1334.67,1589365348629
99,3.6883,67.69,1589365348629
100,3.6885,47.24,1589365348629
101,3.6887,600.0,1589365348629
102,3.6889,140.71,1589365348629
103,3.6891,404.53,1589365348629
104,3.6861,3.09,1589365352503
105,3.685,191.74,1589365352503
106,3.6849,369.0,1589365352503
107,3.6843,991.93,1589365352503
108,3.6842,241.85,1589365352503
109,3.6841,600.0,1589365352503
110,3.684,334.43,1589365352503
111,3.6838,377.0,1589365352503
112,3.6837,272.43,1589365352503
113,3.6834,272.43,1589365352503
114,3.6832,965.16,1589365352503
115,3.6831,369.0,1589365352503
116,3.6828,74.62,1589365352503
117,3.6823,1325.52,1589365352503
118,3.682,407.32,1589365352503
119,3.6815,407.32,1589365352503
120,3.681,392.67,1589365352503
121,3.6857,34.54,1589365353851
122,3.6859,12.7,1589365353851
123,3.686,82.56,1589365357461
124,3.6861,38.41,1589365357461
125,3.6862,600.0,1589365357461
126,3.6866,991.93,1589365357461
127,3.687,272.43,1589365357461
128,3.6871,382.0,1589365357461
129,3.6873,272.43,1589365357461
130,3.6883,1293.68,1589365357461
131,3.6884,1250.0,1589365357461
132,3.6888,600.0,1589365357461
133,3.6893,1373.55,1589365357461
134,3.6894,47.2,1589365357461
135,3.6896,374.54,1589365357461
136,3.685,116.85,1589365360793
137,3.6849,34.64,1589365360793
138,3.6848,74.62,1589365360793
139,3.6846,34.46,1589365360793
140,3.6843,3.14,1589365360793
141,3.6842,1591.93,1589365360793
142,3.684,62.84,1589365360793
143,3.6839,390.0,1589365360793
144,3.6836,657.58,1589365360793
145,3.6832,272.43,1589365360793
146,3.6829,272.43,1589365360793
147,3.6827,395.0,1589365360793
148,3.6826,562.01,1589365360793
149,3.6822,1250.0,1589365360793
150,3.6821,543.17,1589365360793
151,3.6818,116.0,1589365360793
152,3.6815,684.0,1589365360793
153,3.681,407.45,1589365360793
154,3.6809,102.6,1589365360793
155,3.6848,119.9,1589365365441
156,3.6849,22.04,1589365365441
157,3.6854,24.47,1589365365822
158,3.6855,272.43,1589365365822
159,3.686,116.0,1589365365822
160,3.6872,600.0,1589365365822
161,3.6873,242.03,1589365365822
162,3.6874,1021.14,1589365365822
163,3.6886,542.21,1589365365822
164,3.6887,1322.3,1589365365822
165,3.6888,390.0,1589365365822
166,3.6889,60.77,1589365365822
167,3.6891,600.0,1589365365822
168,3.6895,368.91,1589365365822
169,3.6896,236.22,1589365365822
170,3.6897,406.54,1589365365822
171,3.6898,135.68,1589365365822
172,3.6899,1216.84,1589365365822
173,3.6871,47.2,1589365365874
174,3.687,68.87,1589365365915
175,3.687,3.17,1589365366009
176,3.686,74.62,1589365369222
177,3.6859,5.32,1589365369222
178,3.6858,63.47,1589365369222
179,3.6843,33.54,1589365369222
180,3.6842,518.99,1589365369222
181,3.6837,241.89,1589365369222
182,3.6836,600.0,1589365369222
183,3.6835,289.58,1589365369222
184,3.6833,667.58,1589365369222
185,3.6832,368.04,1589365369222
186,3.6828,950.0,1589365369222
187,3.6825,1318.54,1589365369222
188,3.682,407.36,1589365369222
189,3.6815,407.42,1589365369222
190,3.6813,391.0,1589365369222
191,3.6811,1143.32,1589365369222
192,3.681,67.31,1589365369222
193,3.6854,14.14,1589365373865
194,3.6855,991.93,1589365373865
195,3.6856,33.54,1589365373865
196,3.6858,380.59,1589365373865
197,3.6869,600.0,1589365373865
198,3.687,1144.8,1589365373865
199,3.6871,421.7,1589365373865
200,3.6876,1955.89,1589365373865
201,3.6883,47.2,1589365373865
202,3.689,684.0,1589365373865
203,3.6891,555.71,1589365373865
204,3.6892,406.61,1589365373865
205,3.6893,291.01,1589365373865
206,3.6843,115.1,1589365377398
207,3.6842,34.13,1589365377398
208,3.684,600.0,1589365377398
209,3.6834,381.0,1589365377398
210,3.6833,991.93,1589365377398
211,3.683,139.41,1589365377398
212,3.6827,200.43,1589365377398
213,3.6825,378.0,1589365377398
214,3.6824,579.16,1589365377398
215,3.6818,136.2,1589365377398
216,3.6817,600.0,1589365377398
217,3.6808,135.64,1589365377398
218,3.6807,543.37,1589365377398
219,3.6806,13.57,1589365377398
220,3.6805,2671.66,1589365377398
221,3.6846,11.65,1589365379224
222,3.6831,136.3,1589365383408
223,3.6832,77.92,1589365383408
224,3.6847,35.06,1589365383408
225,3.6851,385.0,1589365383408
226,3.6853,991.93,1589365383408
227,3.6857,600.0,1589365383408
228,3.6861,395.0,1589365383408
229,3.6864,242.03,1589365383408
230,3.6866,136.17,1589365383408
231,3.6868,394.0,1589365383408
232,3.6872,116.0,1589365383408
233,3.6876,919.03,1589365383408
234,3.6877,1250.0,1589365383408
235,3.688,1319.92,1589365383408
236,3.6887,506.89,1589365383408
237,3.685,254.81,1589365383670
238,3.6854,8.0,1589365437460
239,3.6854,26.0,1589365438424
240,3.6854,25.0,1589365438521
241,3.6854,25.0,1589365438622
242,3.6854,52.3,1589365438649
243,3.6861,136.0,1589365440690
244,3.6853,40.0,1589365448074
245,3.686,34.0,1589365449473
246,3.6858,26.0,1589365501852
247,3.6844,18.85,1589365531404
248,3.6838,24.15,1589365551792
249,3.6837,149.27,1589365551792
250,3.6829,39.0,1589365551821
251,3.6826,600.0,1589365551821
252,3.6825,203.15,1589365551821
253,3.6838,262.51,1589365551878
254,3.6826,11.26,1589365551878
255,3.6825,529.38,1589365551878
256,3.6843,2.75,1589365555503
257,3.6841,114.77,1589365561391
258,3.6842,49.6,1589365561391
259,3.6842,202.49,1589365581353
260,3.6829,22.99,1589365635560
261,3.6832,16.38,1589365653269
262,3.6833,33.62,1589365653269
263,3.6838,200.71,1589365674463
264,3.6833,34.37,1589365687337
265,3.6834,30.5,1589365687337
266,3.6835,143.7,1589365687337
267,3.6836,46.35,1589365687337
268,3.684,15.54,1589365691265
269,3.6838,15.52,1589365695210
270,3.684,15.52,1589365699150
271,3.6822,114.77,1589365700832
272,3.6821,29.94,1589365701301
273,3.6819,32.89,1589365701736
274,3.6817,20.91,1589365701736
275,3.6817,2.95,1589365701901
276,3.6814,148.95,1589365701977
277,3.6812,9.51,1589365702053
278,3.6811,68.42,1589365703056
279,3.681,407.43,1589365703056
280,3.6817,49.15,1589365703581
281,3.6819,15.52,1589365703853
282,3.6818,15.52,1589365708090
283,3.6823,15.52,1589365711939
284,3.6819,2.74,1589365712541
285,3.6821,15.52,1589365716256
286,3.6821,23.56,1589365720176
287,3.6821,15.52,1589365720385
288,3.6806,99.09,1589365727056
289,3.682,15.52,1589365727347
290,3.6805,292.69,1589365727354
291,3.6811,15.54,1589365727843
292,3.681,15.54,1589365728342
293,3.6807,15.54,1589365728849
294,3.68,0.28,1589365729843
295,3.6793,28.58,1589365729843
296,3.6789,322.54,1589365730838
297,3.6788,309.74,1589365730838
298,3.6784,41.58,1589365730838
299,3.6783,13.57,1589365730838
300,3.678,54.37,1589365730838
301,3.6764,44.05,1589365731945
302,3.6762,22.98,1589365731974
303,3.6776,4.41,1589365732128
304,3.677,21.74,1589365732467
305,3.676,16.55,1589365733038
306,3.676,0.01,1589365733065
307,3.6745,2.98,1589365734441
308,3.6752,6.0,1589365735728
309,3.674,48.38,1589365736943
310,3.6747,141.0,1589365737804
311,3.6748,292.69,1589365738744
312,3.6753,37.8,1589365739213
313,3.6753,6.32,1589365739219
314,3.6753,228.31,1589365739222
315,3.6759,11.64,1589365747358
316,3.6759,86.59,1589365748240
