,_p,_v,_t
0,42.3,0.27186,1589365029903
1,42.3,0.26048,1589365040153
2,42.3,0.27865,1589365050357
3,42.3,0.27226,1589365060609
4,42.29,0.26971,1589365070806
5,42.29,0.26509,1589365081058
6,42.3,0.26046,1589365091268
7,42.3,2.0,1589365098871
8,42.29,0.26898,1589365101463
9,42.29,0.33191,1589365101715
10,42.3,0.2705,1589365119904
11,42.3,0.9847,1589365123287
12,42.3,0.28411,1589365130148
13,42.3,0.26401,1589365140365
14,42.29,5.74,1589365148837
15,42.3,0.26304,1589365150569
16,42.3,0.26895,1589365160813
17,42.29,8.80079,1589365166456
18,42.28,3.02,1589365166462
19,42.28,3.0,1589365168291
20,42.28,3.0,1589365168304
21,42.28,13.14,1589365168647
22,42.28,11.83,1589365168757
23,42.28,0.00699,1589365168776
24,42.29,0.26599,1589365171011
25,42.29,0.26025,1589365181227
26,42.28,5.14,1589365185258
27,42.29,0.27916,1589365191448
28,42.27,1.42,1589365198627
29,42.28,0.27126,1589365201734
30,42.28,0.27783,1589365211927
31,42.28,0.28308,1589365222175
32,42.28,11.96,1589365223016
33,42.3,0.27162,1589365232375
34,42.3,9.00055,1589365240723
35,42.29,5.89496,1589365240752
36,42.3,3.74099,1589365240840
37,42.3,5.02825,1589365241039
38,42.3,1.94341,1589365241153
39,42.31,1.14316,1589365241689
40,42.31,4.41,1589365241784
41,42.31,11.47439,1589365241903
42,42.31,6.44898,1589365242227
43,42.32,0.26108,1589365242592
44,42.33,0.27489,1589365250810
45,42.33,0.27843,1589365261036
46,42.33,0.27147,1589365271241
47,42.32,0.27192,1589365279470
48,42.3,1.02,1589365282961
49,42.29,7.01783,1589365282961
50,42.3,2.03,1589365283031
51,42.3,3.86,1589365283139
52,42.3,5.6,1589365283256
53,42.31,0.26228,1589365287696
54,42.31,0.26687,1589365297908
55,42.31,0.27799,1589365308140
56,42.3,20.27469,1589365311877
57,42.31,0.27123,1589365318354
58,42.31,2.0884,1589365324750
59,42.3,0.5417,1589365327137
60,42.31,0.28544,1589365328591
61,42.31,0.26484,1589365338787
62,42.3,1.0,1589365340400
63,42.31,0.27801,1589365349029
64,42.31,0.27216,1589365359257
