,_p,_v,_t
0,0.01609,1181.7,1589068800852
1,0.01609,12124.2,1589068802901
2,0.01609,2875.8,1589068802960
3,0.01608,15260.2,1589068806963
4,0.01608,5005.0,1589068807626
5,0.01608,5007.3,1589068808337
6,0.0161,35020.9,1589068808522
7,0.01608,5010.3,1589068808968
8,0.01608,5013.3,1589068809605
9,0.01608,244857.7,1589068809665
10,0.01608,8104.8,1589068809777
11,0.01607,5011.6,1589068810218
12,0.01607,5020.1,1589068810864
13,0.01607,13317.2,1589068810995
14,0.01607,5020.2,1589068811468
15,0.01608,2626.9,1589068811591
16,0.01608,796.7,1589068811725
17,0.01607,5009.0,1589068812117
18,0.01607,5000.8,1589068812728
19,0.01607,4990.2,1589068813363
20,0.01606,20.1,1589068813363
21,0.01607,7000.0,1589068813859
22,0.01607,5008.6,1589068813990
23,0.01607,2991.4,1589068814609
24,0.01606,2026.0,1589068814609
25,0.01607,5012.6,1589068815225
26,0.01607,5010.2,1589068815868
27,0.01607,5002.0,1589068816491
28,0.01607,5019.8,1589068817113
29,0.01607,694.4,1589068817547
30,0.01607,5007.8,1589068817731
31,0.01607,5031.1,1589068818362
32,0.01607,5004.9,1589068818984
33,0.01607,1244.5,1589068819178
34,0.01607,5004.4,1589068819614
35,0.01607,5023.4,1589068820244
36,0.01607,5012.1,1589068820870
37,0.01607,5020.1,1589068821497
38,0.01607,5023.0,1589068822127
39,0.01607,5019.9,1589068822757
40,0.01607,5004.8,1589068823373
41,0.01607,5015.3,1589068824006
42,0.01608,114561.5,1589068826350
43,0.01608,62208.4,1589068827679
44,0.01608,124416.8,1589068827679
45,0.01608,4630.4,1589068830912
46,0.01608,32469.5,1589068831354
47,0.01608,131001.4,1589068831370
48,0.01608,32469.5,1589068831389
49,0.01608,32153.5,1589068831438
50,0.01608,55719.2,1589068831654
51,0.01609,6489.2,1589068831654
52,0.01609,10661.0,1589068831662
53,0.01608,1057.8,1589068831759
54,0.01609,1244.2,1589068831812
55,0.01609,113590.0,1589068833079
56,0.01609,5017.1,1589068836257
57,0.01609,5753.8,1589068836431
58,0.01608,60000.0,1589068836767
59,0.01609,6168.7,1589068849565
60,0.01609,903.6,1589068849654
61,0.01609,4521.6,1589068852121
62,0.01609,6105.0,1589068855128
63,0.0161,60000.0,1589068856559
64,0.0161,60000.0,1589068856563
65,0.0161,9960.4,1589068856563
66,0.0161,6097.6,1589068859233
67,0.0161,96281.4,1589068865072
68,0.0161,742.8,1589068865621
69,0.01609,2346.7,1589068868574
70,0.0161,5997.3,1589068869152
71,0.01611,69587.8,1589068901001
72,0.01611,1042.9,1589068901141
73,0.01611,8210.0,1589068921699
74,0.0161,50000.0,1589068924564
75,0.0161,13727.0,1589068926273
76,0.0161,812.0,1589068926369
77,0.01609,5004.5,1589068926988
78,0.01609,5003.5,1589068927705
79,0.01609,5007.6,1589068928417
80,0.01609,5001.6,1589068929133
81,0.01609,3208.0,1589068929385
82,0.01609,5019.8,1589068929850
83,0.01609,5007.1,1589068930474
84,0.01609,5009.6,1589068931106
85,0.01609,5016.1,1589068931729
86,0.01609,5021.4,1589068932357
87,0.01609,15918.2,1589068932365
88,0.01609,5013.6,1589068932986
89,0.01609,5007.2,1589068933608
90,0.01609,5012.5,1589068934236
91,0.01609,5000.0,1589068934859
92,0.01609,5005.0,1589068935494
93,0.01608,5008.5,1589068936202
94,0.01608,5004.3,1589068936925
95,0.01608,5005.1,1589068937635
96,0.01608,5007.7,1589068938351
97,0.01608,5024.2,1589068938977
98,0.01608,5014.8,1589068939606
99,0.01608,5012.6,1589068940228
100,0.01608,5010.7,1589068940948
101,0.01608,5010.9,1589068941666
102,0.01608,5008.2,1589068942377
103,0.01608,60000.0,1589068942836
104,0.01608,60000.0,1589068942837
105,0.01608,47745.0,1589068942851
106,0.01608,15949.8,1589068943340
107,0.01607,26148.4,1589068946122
108,0.01607,30643.0,1589068949977
109,0.01607,60000.0,1589068950156
110,0.01607,12685.0,1589068950158
111,0.01607,119999.9,1589068950790
112,0.01607,13734.5,1589068951362
113,0.01606,14020.6,1589068954304
114,0.01607,15000.0,1589068954579
115,0.01607,742.8,1589068954748
116,0.01607,21671.6,1589068954898
117,0.01608,60000.0,1589068955180
118,0.01608,14045.6,1589068955665
119,0.01608,78948.9,1589068956151
120,0.01608,6995.6,1589068958446
121,0.01607,14782.6,1589068960346
122,0.01607,27947.3,1589068960387
123,0.01609,16007.0,1589068961760
124,0.01607,1051.2,1589068978632
125,0.01605,96671.0,1589068995491
126,0.01605,11674.9,1589068995491
127,0.01606,18690.0,1589068995721
128,0.01605,7000.0,1589068996540
129,0.01606,996.0,1589068997058
130,0.01605,50000.0,1589068997645
131,0.01605,80000.0,1589068997684
132,0.01605,219099.8,1589068997691
133,0.01604,85000.0,1589068997801
134,0.01604,180855.9,1589068997801
135,0.01604,12241.0,1589068997801
136,0.01605,10841.1,1589068997834
137,0.01604,10000.0,1589068998075
138,0.01605,62298.6,1589068998396
139,0.01604,5001.4,1589068998400
140,0.01605,1026.6,1589068998525
141,0.01604,5002.9,1589068999074
142,0.01604,5000.7,1589068999785
143,0.01606,7005.4,1589069000379
144,0.01606,10027.0,1589069000400
145,0.01606,52994.7,1589069000403
146,0.01605,5018.9,1589069000410
147,0.01605,5005.4,1589069001041
148,0.01605,1244.0,1589069001449
149,0.01605,5005.1,1589069001754
150,0.01606,5018.3,1589069002383
151,0.01606,2514.5,1589069002433
152,0.01606,70000.0,1589069002536
153,0.01606,7000.0,1589069002555
154,0.01606,7003.7,1589069002640
155,0.01606,60000.0,1589069002641
156,0.01606,48320.0,1589069002671
157,0.01606,20000.0,1589069002876
158,0.01606,5003.5,1589069003011
159,0.01606,65862.1,1589069003567
160,0.01605,221675.3,1589069003567
161,0.01605,15000.0,1589069003683
162,0.01605,5041.4,1589069003730
163,0.01605,29513.0,1589069003853
164,0.01605,20000.0,1589069003859
165,0.01605,5015.3,1589069004360
166,0.01605,5010.7,1589069004981
167,0.01605,5007.7,1589069005607
168,0.01605,9485.3,1589069005645
169,0.01604,5007.1,1589069006322
170,0.01605,4787.1,1589069007031
171,0.01604,5004.7,1589069007037
172,0.01604,5009.9,1589069007750
173,0.01604,5006.5,1589069008468
174,0.01604,5012.5,1589069009189
175,0.01606,29625.7,1589069009212
176,0.01604,100000.0,1589069009497
177,0.01606,36960.4,1589069009687
178,0.01605,11770.0,1589069009756
179,0.01604,88230.0,1589069009756
180,0.01604,5015.2,1589069009901
181,0.01604,5002.7,1589069010620
182,0.01605,7830.6,1589069011114
183,0.01605,5015.1,1589069011245
184,0.01605,5022.0,1589069011868
185,0.01605,23962.0,1589069012321
186,0.01605,5001.9,1589069012494
187,0.01605,5014.0,1589069013130
188,0.01605,5004.9,1589069013747
189,0.01605,5011.9,1589069014377
190,0.01605,5018.0,1589069015007
191,0.01605,80888.9,1589069015507
192,0.01606,6597.0,1589069015550
193,0.01605,5017.3,1589069015629
194,0.01605,62285.9,1589069015896
195,0.01605,63021.0,1589069015910
196,0.01605,3918.0,1589069015991
197,0.01605,53289.8,1589069016031
198,0.01605,153605.6,1589069016108
199,0.01605,963.9,1589069016228
200,0.01604,6209.2,1589069016253
201,0.01603,38171.8,1589069016253
202,0.01603,60800.0,1589069016253
203,0.01603,14985.0,1589069016253
204,0.01603,183063.6,1589069016253
205,0.01603,6500.0,1589069016253
206,0.01603,5619.0,1589069016256
207,0.01603,15456.0,1589069016259
208,0.01603,5011.9,1589069016350
209,0.01604,75000.0,1589069016660
210,0.01604,35625.1,1589069016704
211,0.01604,5018.7,1589069016971
212,0.01604,5026.0,1589069017531
213,0.01604,5015.5,1589069018087
214,0.01604,26102.3,1589069019967
215,0.01603,10000.0,1589069020062
216,0.01603,10000.0,1589069020066
217,0.01603,2000.0,1589069020093
218,0.01603,10000.0,1589069020094
219,0.01603,6209.2,1589069020151
220,0.01603,30326.2,1589069020512
221,0.01603,12520.0,1589069021035
222,0.01602,11013.9,1589069021035
223,0.01602,6226.0,1589069021035
224,0.01602,43734.9,1589069021035
225,0.01602,2497.5,1589069021035
226,0.01602,27034.4,1589069021035
227,0.01604,1529.0,1589069021327
228,0.01602,5009.3,1589069021751
229,0.01602,5018.9,1589069022376
230,0.01602,121922.4,1589069022460
231,0.01602,5016.0,1589069023001
232,0.01602,5017.2,1589069023629
233,0.01602,5018.5,1589069024257
234,0.01602,5005.2,1589069024882
235,0.01602,5009.1,1589069025510
236,0.01602,113258.5,1589069025852
237,0.01603,2000.0,1589069025908
238,0.01602,5007.8,1589069026139
239,0.01603,1639.0,1589069026139
240,0.01602,5003.6,1589069026762
241,0.01602,40000.0,1589069027376
242,0.01602,5018.0,1589069027385
243,0.01603,5034.1,1589069027486
244,0.01602,5013.6,1589069028016
245,0.01602,5002.7,1589069028643
246,0.01602,5010.8,1589069029266
247,0.01602,5016.1,1589069029892
248,0.01602,5003.2,1589069030518
249,0.01603,24858.0,1589069030538
250,0.01603,14288.4,1589069030550
251,0.01602,5015.3,1589069031148
252,0.01602,5465.4,1589069031757
253,0.01602,5038.8,1589069032387
254,0.01602,26910.0,1589069032410
255,0.01602,5027.2,1589069033011
256,0.01602,5018.4,1589069033637
257,0.01602,6052.3,1589069033641
258,0.01602,143643.3,1589069033766
259,0.01602,1492.6,1589069034284
260,0.01601,5001.2,1589069034355
261,0.01601,2097.0,1589069034355
262,0.01601,46485.4,1589069034355
263,0.01601,157257.1,1589069034355
264,0.01602,36825.2,1589069034630
265,0.01601,5014.1,1589069035067
266,0.01602,19371.7,1589069035218
267,0.01603,12422.1,1589069035218
268,0.01601,5007.5,1589069035785
269,0.01601,5004.0,1589069036500
270,0.01601,5029.9,1589069037223
271,0.01602,34509.0,1589069037425
272,0.01601,5004.2,1589069037938
273,0.01601,5198.3,1589069038588
274,0.01601,5023.2,1589069039216
275,0.01602,7765.0,1589069039338
276,0.01601,5009.7,1589069039840
277,0.01602,21767.0,1589069040258
278,0.01601,5001.1,1589069040468
279,0.01601,142377.4,1589069041021
280,0.01601,5012.1,1589069041088
281,0.01602,1604.3,1589069041400
282,0.01601,89165.5,1589069041708
283,0.01601,5346.1,1589069041758
284,0.01601,5004.1,1589069042388
285,0.01602,3032.9,1589069042555
286,0.016,5032.7,1589069043103
287,0.016,726.9,1589069043103
288,0.016,55031.5,1589069043103
289,0.016,3804.8,1589069043103
290,0.016,62111.8,1589069043103
291,0.016,21422.1,1589069043103
292,0.016,174944.9,1589069043103
293,0.016,306423.7,1589069043103
294,0.016,38432.9,1589069043103
295,0.016,919117.6,1589069043103
296,0.016,35528.6,1589069043103
297,0.016,12172.0,1589069043103
298,0.016,736874.7,1589069043103
299,0.016,12438.6,1589069043103
300,0.016,132440.6,1589069043103
301,0.016,72127.7,1589069043103
302,0.016,81149.8,1589069043103
303,0.016,6143.8,1589069043103
304,0.016,24583.2,1589069043103
305,0.01601,742.8,1589069043754
306,0.016,5002.6,1589069043817
307,0.01601,1426.4,1589069043888
308,0.016,5012.8,1589069044536
309,0.01601,274.7,1589069045078
310,0.01602,2294.5,1589069045078
311,0.016,5000.6,1589069045253
312,0.01601,10848.1,1589069045407
313,0.01601,5015.1,1589069045873
314,0.01601,5095.0,1589069046442
315,0.01601,5009.5,1589069047071
316,0.01601,9657.4,1589069047245
317,0.016,35372.6,1589069047245
318,0.016,465500.0,1589069047246
319,0.016,500000.0,1589069047246
320,0.016,2000.0,1589069047294
321,0.016,10000.0,1589069047309
322,0.016,187644.4,1589069047322
323,0.016,10000.0,1589069047331
324,0.016,10000.0,1589069047438
325,0.016,23028.0,1589069047502
326,0.016,5033.2,1589069047791
327,0.016,5016.1,1589069048504
328,0.01601,637.6,1589069048762
329,0.01602,7862.4,1589069048762
330,0.016,5008.1,1589069049226
331,0.016,27474.6,1589069049381
332,0.016,53184.2,1589069049569
333,0.016,5020.4,1589069049851
334,0.01602,60000.0,1589069050238
335,0.01602,21439.0,1589069050240
336,0.01602,76639.9,1589069050393
337,0.016,5017.1,1589069050476
338,0.01601,3242.3,1589069050646
339,0.01602,36825.0,1589069050738
340,0.01602,0.2,1589069050811
341,0.01603,9729.5,1589069050845
342,0.01601,5092.2,1589069051115
343,0.01601,152501.0,1589069051180
344,0.01601,10759.9,1589069051681
345,0.01601,5018.5,1589069051736
346,0.01603,53211.7,1589069052183
347,0.01602,1732.6,1589069052338
348,0.01602,5117.3,1589069052383
349,0.01604,60000.0,1589069052671
350,0.01604,60000.0,1589069052674
351,0.01604,4888.7,1589069052733
352,0.01604,36258.5,1589069052754
353,0.01602,5021.9,1589069053010
354,0.01602,5008.5,1589069053635
355,0.01602,5016.2,1589069054259
356,0.01602,5007.6,1589069054890
357,0.01602,5009.8,1589069055512
358,0.01602,5024.3,1589069056144
359,0.01604,7500.0,1589069056158
360,0.01602,5006.6,1589069056770
361,0.01602,8637.0,1589069057005
362,0.01602,20633.0,1589069057013
363,0.01602,3242.3,1589069057112
364,0.01602,22862.1,1589069057115
365,0.01601,2000.0,1589069057253
366,0.01601,10000.0,1589069057257
367,0.01601,5014.5,1589069057395
368,0.01601,5022.7,1589069058023
369,0.01601,731.9,1589069058299
370,0.01601,5034.0,1589069058650
371,0.01601,5010.7,1589069059277
372,0.01602,719.8,1589069059320
373,0.01601,792.6,1589069059703
374,0.01601,5014.7,1589069059908
375,0.01601,5001.7,1589069060533
376,0.01601,5019.5,1589069061155
377,0.01601,5015.8,1589069061781
378,0.01601,5021.9,1589069062411
379,0.01601,60000.0,1589069062493
380,0.01601,42030.0,1589069062500
381,0.01601,74978.0,1589069062528
382,0.016,57278.1,1589069062691
383,0.016,5007.8,1589069063129
384,0.016,5008.5,1589069063845
385,0.01601,1000.4,1589069064161
386,0.01601,1000.4,1589069064241
387,0.01602,1419.7,1589069064552
388,0.016,5003.3,1589069064556
389,0.01602,4125.0,1589069065152
390,0.016,5008.0,1589069065271
391,0.01602,10399.0,1589069065787
392,0.01602,3800.0,1589069065984
393,0.016,5012.1,1589069065988
394,0.01602,3800.0,1589069066490
395,0.016,5002.8,1589069066709
396,0.016,5012.7,1589069067424
397,0.01602,998.0,1589069067484
398,0.01602,19496.0,1589069067618
399,0.01601,5591.3,1589069067660
400,0.016,10019.0,1589069067789
401,0.01601,2571.8,1589069068028
402,0.016,5008.9,1589069068140
403,0.01601,1852.4,1589069068538
404,0.01602,510.5,1589069068538
405,0.016,5004.7,1589069068851
406,0.016,75114.0,1589069069523
407,0.016,5018.8,1589069069568
408,0.016,66744.2,1589069070262
409,0.016,5002.4,1589069070281
410,0.016,5015.8,1589069070997
411,0.016,5009.1,1589069071720
412,0.016,5010.1,1589069072431
413,0.016,5015.4,1589069073152
414,0.016,117824.0,1589069073738
415,0.016,5013.7,1589069073866
416,0.016,127400.9,1589069074015
