,_p,_v,_t
0,2.5225,164.55,1589365036036
1,2.5237,51.55,1589365241285
2,2.5245,440.92,1589365241335
3,2.5245,100.21,1589365241366
4,2.5245,741.53,1589365241391
5,2.5247,7.92,1589365241413
6,2.5248,517.84,1589365241447
7,2.5248,196.88,1589365241468
8,2.5248,157.42,1589365241478
9,2.5257,1424.47,1589365241599
10,2.5257,411.49,1589365241613
11,2.5257,284.16,1589365241627
12,2.526,193.83,1589365241658
13,2.526,29.21,1589365241693
14,2.5253,200.0,1589365274184
15,2.5253,20.07,1589365274809
16,2.5253,20.06,1589365275431
17,2.5253,20.08,1589365276053
18,2.5253,20.02,1589365276671
19,2.5253,20.03,1589365277294
20,2.5253,20.0,1589365277912
21,2.5253,20.05,1589365278531
22,2.5253,20.06,1589365279155
23,2.5253,20.05,1589365279776
24,2.5253,20.04,1589365280398
25,2.5253,53.44,1589365334787
26,2.5256,30.0,1589365351132
27,2.5256,500.0,1589365351389
28,2.5256,500.0,1589365351718
29,2.5256,500.0,1589365352079
30,2.5256,500.0,1589365352319
31,2.5256,120.0,1589365352555
32,2.526,249.48,1589365357031
33,2.5263,118.79,1589365361937
34,2.5259,27.74,1589365431645
35,2.5259,4.0,1589365452289
36,2.5256,154.11,1589365465126
37,2.5256,442.15,1589365465135
38,2.5243,6.5,1589365469695
39,2.5243,1.41,1589365488664
40,2.5242,43.36,1589365490848
41,2.5242,1284.9,1589365502618
42,2.5242,773.76,1589365502631
43,2.5242,1169.26,1589365502643
44,2.5242,367.23,1589365502655
45,2.5242,412.29,1589365512376
46,2.5242,187.4,1589365512388
47,2.5225,20.0,1589365512460
48,2.5225,20.0,1589365512460
49,2.5225,20.0,1589365512462
50,2.5225,39.1,1589365512497
51,2.5218,5.0,1589365512543
52,2.5238,185.17,1589365522596
53,2.5238,12.91,1589365523219
54,2.5238,175.7,1589365523431
55,2.5238,160.51,1589365523535
56,2.5238,10.21,1589365523642
57,2.5239,7.91,1589365564995
58,2.5222,7.92,1589365581993
59,2.5223,4.47,1589365582050
60,2.5223,22.93,1589365603237
61,2.5227,186.34,1589365603237
62,2.5227,68.92,1589365603239
63,2.5226,66.69,1589365639453
64,2.5205,7.92,1589365709435
65,2.52,245.08,1589365729140
66,2.52,35.01,1589365729152
67,2.5195,25.0,1589365729297
68,2.5195,19.9,1589365729298
69,2.5195,55.51,1589365729310
70,2.5181,20.0,1589365729313
71,2.5182,7.93,1589365729362
72,2.5181,2.07,1589365729362
73,2.5181,60.0,1589365730469
74,2.5181,50.0,1589365730685
75,2.5181,40.0,1589365730688
76,2.5181,50.0,1589365730721
77,2.5181,63.32,1589365730766
78,2.5171,11.43,1589365730775
79,2.5164,5.31,1589365730775
80,2.5161,33.26,1589365730775
81,2.5161,40.0,1589365730847
82,2.5162,50.0,1589365730857
83,2.5162,50.0,1589365730914
84,2.5162,25.0,1589365730939
85,2.5182,4.0,1589365731805
86,2.5177,27.73,1589365732472
87,2.5175,9.0,1589365733409
88,2.5174,19.77,1589365739708
89,2.5176,872.12,1589365739708
90,2.5186,126.25,1589365739946
91,2.5187,298.74,1589365739946
92,2.5182,7.93,1589365744893
93,2.5181,42.07,1589365744893
94,2.5181,18.96,1589365744894
95,2.5183,51.22,1589365755375
96,2.5183,200.0,1589365756637
97,2.5183,102.3,1589365756642
98,2.5183,200.0,1589365756647
99,2.5183,100.0,1589365756656
100,2.5183,1191.93,1589365756748
101,2.5183,36.33,1589365756807
102,2.5182,7.93,1589365756807
103,2.5171,48.3,1589365763125
104,2.517,7.93,1589365771861
105,2.5182,81.23,1589365773523
106,2.5183,7.93,1589365784900
107,2.5183,192.07,1589365784997
108,2.5174,7.93,1589365784997
109,2.5187,12.0,1589365797787
110,2.5164,7.94,1589365815863
111,2.5151,192.06,1589365815863
112,2.514,15.0,1589365819304
113,2.514,10.0,1589365819310
114,2.514,46.35,1589365819497
115,2.5138,5.31,1589365819497
116,2.5133,148.34,1589365819497
117,2.5133,10.0,1589365819499
