,_t,_o,_h,_l,_c,_v
0,1589365028380.0,234.09,234.09,233.14,233.76,1047.9767899999997
1,1589366563419.0,233.76,234.7,233.68,234.67,1041.90855
2,1589367721332.0,234.67,234.99,234.42,234.63,1043.8372899999997
3,1589368821155.0,234.63,234.92,234.0,234.92,1042.7048899999993
4,1589370341014.0,234.92,235.32,234.64,235.22,1039.8913400000004
5,1589370655191.0,235.22,236.0,234.92,235.7,1040.1891200000011
6,1589371302874.0,235.7,235.7,234.86,235.33,1037.918619999999
7,1589372319073.0,235.33,235.61,234.92,235.59,1038.1267400000006
8,1589373750181.0,235.59,236.99,235.53,236.28,1033.6411500000002
9,1589373960086.0,236.28,237.0,236.26,236.53,1034.856739999999
10,1589374470082.0,236.53,236.86,235.92,236.48,1033.1730000000002
11,1589374875333.0,236.48,236.55,235.75,235.9,1033.0650400000002
12,1589375233000.0,235.9,236.26,235.54,235.83,1040.7577100000003
13,1589375966884.0,235.83,236.19,235.48,236.18,1035.4531200000001
14,1589376377364.0,236.18,236.38,235.74,236.15,1042.5882099999997
15,1589376598382.0,236.15,236.3,235.4,235.86,1039.5124399999986
16,1589377912473.0,235.86,236.69,235.48,236.16,1036.9367200000022
17,1589378915862.0,236.16,236.93,236.03,236.93,1032.2374399999992
18,1589379541932.0,236.93,237.79,236.88,237.3,1029.7703400000005
19,1589379765822.0,237.3,237.53,236.23,236.88,1037.4712100000002
20,1589380312252.0,236.88,236.95,235.25,235.38,1032.8029700000006
21,1589381318571.0,235.38,236.81,235.35,236.43,1033.3701700000015
22,1589382132772.0,236.43,237.0,235.97,236.65,1033.1006499999996
23,1589383191602.0,236.65,237.79,236.5,237.76,1031.2034400000002
24,1589383990190.0,237.76,238.19,237.41,237.86,1029.0732000000003
25,1589384105300.0,237.86,238.08,237.19,237.94,1028.6362100000006
26,1589384879734.0,237.94,238.16,237.05,238.16,1028.06485
27,1589385628470.0,238.16,239.93,238.03,239.3,1025.55453
28,1589385662815.0,239.3,240.16,238.9,240.16,1019.3775900000006
29,1589385681557.0,240.16,241.23,239.12,239.72,1017.6582599999996
30,1589385697291.0,239.72,239.93,237.89,238.12,1020.363010000001
31,1589385856510.0,238.12,238.43,236.75,237.38,1028.1798400000011
32,1589386098116.0,237.38,237.93,237.05,237.93,1028.31935
33,1589386446229.0,237.93,237.95,237.0,237.01,1029.8093999999999
34,1589386728820.0,237.01,237.14,236.64,237.05,1035.1817800000003
35,1589386950310.0,237.05,237.37,236.13,236.42,1030.8267300000005
36,1589387404570.0,236.42,237.19,235.68,235.99,1032.8742200000004
37,1589387935148.0,235.99,236.75,235.62,236.18,1033.690900000001
38,1589388878167.0,236.18,236.67,235.44,235.83,1038.2770099999996
39,1589390102261.0,235.83,236.31,235.4,236.1,1036.9061399999998
40,1589391240082.0,236.1,236.8,235.88,236.74,1035.2408099999998
41,1589392740170.0,236.74,237.0,236.42,236.68,1039.8602700000004
42,1589394450631.0,236.68,236.89,235.88,236.5,1034.4679300000016
43,1589397027049.0,236.5,236.93,235.85,236.81,1033.290760000001
44,1589399048912.0,236.81,237.14,236.43,236.47,1037.2019500000001
45,1589400140474.0,236.47,237.37,236.24,237.16,1032.234429999999
46,1589400275039.0,237.16,237.38,236.7,237.34,1029.6053399999985
47,1589400835536.0,237.34,238.48,237.27,238.32,1049.34336
48,1589401483553.0,238.32,238.89,237.84,238.84,1024.3253699999996
49,1589402536394.0,238.84,239.0,238.0,238.2,1073.281590000001
50,1589403442337.0,238.2,239.02,237.71,238.25,1025.669240000001
51,1589404518924.0,238.25,239.04,238.25,239.04,1031.4873999999998
52,1589405733898.0,239.04,239.9,238.6,239.85,1029.7055700000008
53,1589406422862.0,239.85,241.85,239.8,241.21,1016.2533300000009
54,1589406450575.0,241.21,241.59,240.31,240.99,1012.9254099999994
55,1589406499977.0,240.99,241.31,240.65,241.0,1012.8620400000004
56,1589406520945.0,241.0,241.25,240.5,241.25,1013.0414900000007
57,1589406610570.0,241.25,242.0,240.9,241.65,1011.0791500000008
58,1589407212707.0,241.65,241.67,239.85,241.0,1016.83952
59,1589407430862.0,241.0,241.01,240.08,240.85,1014.3370499999997
60,1589407949414.0,240.85,241.4,240.63,241.03,1013.6864699999988
61,1589408307408.0,241.03,241.08,238.92,238.92,1016.6530300000011
62,1589409718261.0,238.92,239.52,238.55,238.55,1021.6693199999978
63,1589410059992.0,238.55,239.81,238.11,239.49,1022.450470000001
64,1589410713227.0,239.49,239.61,238.22,239.38,1021.4502900000017
65,1589412014249.0,239.38,239.61,239.1,239.56,1020.0580800000004
66,1589412641883.0,239.56,240.2,239.1,239.81,1018.0563299999999
67,1589413782796.0,239.81,239.82,239.25,239.33,1021.3898900000003
68,1589414279436.0,239.33,240.26,239.11,240.03,1018.9928500000008
69,1589414904784.0,240.03,240.87,239.9,239.98,1016.3356699999996
