,_t,_o,_h,_l,_c,_v
0,1589068800087.0,16.7753,16.7779,16.71,16.7198,11817.779999999992
1,1589068826523.0,16.7198,16.79,16.7,16.7,13264.839999999997
2,1589068977593.0,16.7,16.7,16.6445,16.6452,11831.260000000011
3,1589069091825.0,16.6452,16.6535,16.588,16.6009,11894.979999999996
4,1589069175376.0,16.6009,16.6009,16.5489,16.5616,11922.52000000002
5,1589069231520.0,16.5616,16.6067,16.5551,16.596,11873.730000000007
6,1589069465144.0,16.596,16.6,16.51,16.5345,12043.02999999999
7,1589069642795.0,16.5345,16.5443,16.5,16.5,11940.459999999994
8,1589069695864.0,16.5,16.5012,16.43,16.43,12029.070000000014
9,1589069717719.0,16.43,16.4301,16.3,16.3,12078.740000000005
10,1589069725619.0,16.3,16.341,16.25,16.2874,12117.85000000004
11,1589069772138.0,16.2874,16.3254,16.2,16.2,12843.149999999994
12,1589069829718.0,16.2,16.2001,16.029,16.029,12228.18
13,1589069845255.0,16.029,16.029,15.9211,15.9211,12323.05
14,1589069852017.0,15.9211,15.97,15.7575,15.7575,12637.019999999999
15,1589069866880.0,15.7575,15.8207,15.68,15.8043,12516.69000000002
16,1589069891712.0,15.8043,15.8184,15.53,15.5369,12581.770000000015
17,1589069922617.0,15.5369,15.668,15.37,15.37,12722.320000000003
18,1589069930170.0,15.37,15.4439,15.0449,15.0531,12948.440000000008
19,1589069947340.0,15.0531,15.1797,14.937,14.937,13126.26000000002
20,1589069961674.0,14.937,15.015,14.8071,14.8359,13380.869999999988
21,1589069993566.0,14.8359,14.8789,14.7,14.7,13445.799999999997
22,1589070008439.0,14.7,14.7243,14.6,14.6,13718.55000000001
23,1589070028209.0,14.6,14.6208,14.339,14.3539,13604.479999999981
24,1589070046153.0,14.3539,14.3842,14.1,14.14,13850.900000000027
25,1589070069994.0,14.14,14.1861,14.0,14.0077,13985.29
26,1589070091042.0,14.0077,14.1001,14.0,14.0385,14092.770000000031
27,1589070122230.0,14.0385,14.254,14.0,14.2,14207.950000000004
28,1589070138875.0,14.2,14.5096,14.2,14.4437,13765.339999999987
29,1589070162743.0,14.4437,14.6446,14.4028,14.5,13593.449999999997
30,1589070189027.0,14.5,14.6012,14.3006,14.3006,13696.270000000002
31,1589070218877.0,14.3006,14.3419,14.034,14.034,13977.879999999996
32,1589070240243.0,14.034,14.1128,13.9129,14.0,14956.020000000006
33,1589070248885.0,14.0,14.2618,13.9129,14.2613,14009.470000000007
34,1589070286034.0,14.2613,14.3988,14.2424,14.2877,13950.430000000004
35,1589070315679.0,14.2877,14.74,14.2717,14.6409,13621.469999999985
36,1589070365822.0,14.6409,14.8579,14.6318,14.8148,13389.980000000016
37,1589070414663.0,14.8148,15.0042,14.8,14.9,13258.109999999979
38,1589070463611.0,14.9,14.9004,14.7263,14.8074,13344.270000000015
39,1589070511197.0,14.8074,14.8458,14.7545,14.8314,13324.55
40,1589070560514.0,14.8314,14.9,14.767,14.796,13794.960000000001
41,1589070607240.0,14.796,14.8699,14.7327,14.8312,13339.330000000016
42,1589070656438.0,14.8312,14.9832,14.8298,14.9595,13374.17999999998
43,1589070711030.0,14.9595,15.2244,14.9454,15.2235,13171.410000000018
44,1589070781278.0,15.2235,15.45,15.15,15.1629,12946.74999999999
45,1589070822438.0,15.1629,15.3071,15.1553,15.3071,13784.52000000001
46,1589070872402.0,15.3071,15.3787,15.2693,15.2746,12880.76000000001
47,1589070918923.0,15.2746,15.34,15.2,15.2,12932.269999999993
48,1589071003636.0,15.2,15.3361,15.1242,15.3161,12958.860000000015
49,1589071090312.0,15.3161,15.3775,15.27,15.3585,12869.919999999978
50,1589071210014.0,15.3585,15.3687,15.2093,15.3023,12908.78
51,1589071329213.0,15.3023,15.3564,15.2521,15.3135,12859.189999999993
52,1589071458358.0,15.3135,15.431,15.25,15.3571,12858.409999999998
53,1589071612649.0,15.3571,15.46,15.337,15.4071,12816.830000000004
54,1589071734078.0,15.4071,15.4994,15.3931,15.409,12757.39000000001
55,1589071873188.0,15.409,15.5,15.3661,15.4,12768.770000000002
56,1589071949971.0,15.4,15.4891,15.385,15.4541,12772.650000000007
57,1589072092251.0,15.4541,15.4889,15.1403,15.1482,12841.890000000025
58,1589072208981.0,15.1482,15.2,15.0352,15.2,13175.290000000006
59,1589072284006.0,15.2,15.3226,15.1878,15.2389,12917.149999999996
60,1589072331914.0,15.2389,15.41,15.2087,15.3447,12926.339999999997
61,1589072402718.0,15.3447,15.4,15.2398,15.3001,12919.780000000013
62,1589072510638.0,15.3001,15.399,15.2537,15.3499,12891.600000000004
63,1589072671864.0,15.3499,15.35,15.2725,15.3406,12883.700000000023
64,1589072917650.0,15.3406,15.36,15.2627,15.3268,12867.500000000024
65,1589073092873.0,15.3268,15.4,15.2986,15.3554,12861.550000000008
66,1589073447050.0,15.3554,15.5164,15.3401,15.5081,12776.790000000014
67,1589073918674.0,15.5081,15.551,15.4547,15.5203,12699.739999999996
68,1589074204931.0,15.5203,15.5238,15.3317,15.3659,12783.029999999992
69,1589074338838.0,15.3659,15.3673,15.2769,15.3506,12875.370000000012
70,1589074464671.0,15.3506,15.4077,15.3195,15.3875,12842.770000000022
71,1589074729966.0,15.3875,15.4687,15.375,15.3819,12842.349999999995
72,1589075064693.0,15.3819,15.3862,15.2885,15.331,12868.939999999999
73,1589075079790.0,15.331,15.3475,15.1323,15.2233,12962.820000000005
74,1589075121503.0,15.2233,15.2619,15.1482,15.2225,13125.350000000002
75,1589075150704.0,15.2225,15.2585,15.036,15.036,13086.469999999998
76,1589075178238.0,15.036,15.1454,14.8818,14.8818,13176.090000000017
77,1589075178342.0,14.8818,15.2416,14.8818,15.0078,13175.480000000003
78,1589075210924.0,15.0078,15.0784,14.591,14.9394,13270.710000000012
79,1589075223619.0,14.9394,14.9394,14.8483,14.8483,13533.290000000005
80,1589075235145.0,14.8483,14.8907,14.6925,14.8445,13299.27000000001
81,1589075282652.0,14.8445,14.967,14.838,14.9596,13232.380000000001
82,1589075375528.0,14.9596,15.043,14.9076,15.0343,13174.73999999999
83,1589075442410.0,15.0343,15.0954,15.0057,15.0057,13179.65
84,1589075555166.0,15.0057,15.0762,14.9619,15.0056,13118.159999999993
85,1589075644030.0,15.0056,15.1658,14.9912,15.1479,13073.049999999992
86,1589075959584.0,15.1479,15.1539,14.9818,15.0537,13086.169999999993
87,1589076088466.0,15.0537,15.1241,15.0148,15.0617,13070.830000000002
88,1589076399259.0,15.0617,15.0869,15.0,15.0779,13104.909999999996
89,1589076654172.0,15.0779,15.1,14.9394,14.9416,13268.149999999994
90,1589077102854.0,14.9416,15.0,14.8779,14.9468,13189.939999999944
91,1589077308107.0,14.9468,15.0,14.9145,14.9894,13197.289999999948
92,1589077824444.0,14.9894,15.1276,14.9857,15.0669,13100.219999999983
93,1589078336267.0,15.0669,15.12,15.041,15.07,13266.139999999987
94,1589079029272.0,15.07,15.0752,14.9601,15.0181,13258.020000000008
95,1589079424877.0,15.0181,15.0396,14.937,15.0006,13145.349999999977
96,1589079890247.0,15.0006,15.0077,14.9,14.9,14415.519999999971
97,1589080121146.0,14.9,14.9662,14.6925,14.7,13311.62999999997
98,1589080330672.0,14.7,14.85,14.6842,14.8127,13348.209999999966
99,1589080392308.0,14.8127,14.95,14.8127,14.95,13279.009999999986
100,1589080585153.0,14.95,15.0335,14.9349,15.0335,13213.429999999988
101,1589080876844.0,15.0335,15.0526,14.9452,15.0056,13213.40999999996
102,1589081285718.0,15.0056,15.05,14.941,15.0485,13141.409999999963
103,1589081658156.0,15.0485,15.1,14.9856,15.0274,13080.860000000028
