,_t,_o,_h,_l,_c,_v
0,1589365026677.0,8912.08,8919.0,8900.0,8905.0,926.7853230000027
1,1589365993724.0,8905.0,8950.0,8896.06,8940.8,923.8663110000087
2,1589367082072.0,8940.8,8960.0,8935.71,8953.81,920.5979830000024
3,1589367544691.0,8953.81,9006.0,8945.23,8998.11,917.1368149999893
4,1589367724604.0,8998.11,8998.57,8966.97,8983.0,917.6159909999927
5,1589368391136.0,8983.0,9002.19,8928.0,8930.47,925.8944459999989
6,1589369010370.0,8930.47,8974.96,8930.47,8964.28,920.6641540000076
7,1589370101390.0,8964.28,9043.03,8961.67,9034.17,915.0527270000014
8,1589370441426.0,9034.17,9048.62,9002.01,9043.53,914.5699169999945
9,1589371216010.0,9043.53,9060.0,9015.0,9022.49,912.3419379999918
10,1589371450461.0,9022.49,9034.46,8982.75,9005.0,914.8586279999937
11,1589371863608.0,9005.0,9037.74,9005.0,9008.64,913.6409339999836
12,1589373040821.0,9008.64,9079.0,9007.81,9068.65,911.771969999995
13,1589373866906.0,9068.65,9092.0,9050.0,9082.0,908.9976309999965
14,1589374300969.0,9082.0,9099.22,9070.46,9085.08,906.4753140000012
15,1589374747193.0,9085.08,9115.88,9075.09,9089.12,905.7057330000007
16,1589374976898.0,9089.12,9098.05,9066.0,9083.99,907.7178040000044
17,1589375505217.0,9083.99,9091.0,9055.0,9072.8,908.3456859999981
18,1589376320652.0,9072.8,9108.8,9072.77,9084.6,906.5202630000013
19,1589376930844.0,9084.6,9084.6,9057.0,9059.0,908.5933579999976
20,1589377606896.0,9059.0,9084.98,9032.86,9084.98,909.099529
21,1589378407333.0,9084.98,9113.23,9082.51,9105.05,905.9495919999995
22,1589378914419.0,9105.05,9132.0,9090.0,9121.51,904.874775000006
23,1589379360106.0,9121.51,9135.0,9100.6,9121.53,903.8313020000078
24,1589379803486.0,9121.53,9125.89,9090.98,9110.0,908.774531000004
25,1589380383551.0,9110.0,9115.0,9072.0,9073.71,907.3473630000032
26,1589381190089.0,9073.71,9076.96,9035.93,9060.0,909.7535289999976
27,1589381418380.0,9060.0,9101.74,9058.67,9090.86,908.050415999999
28,1589382297354.0,9090.86,9128.5,9081.62,9118.69,904.5384490000031
29,1589382925354.0,9118.69,9149.99,9105.0,9111.53,902.5246740000065
30,1589383369664.0,9111.53,9139.99,9102.61,9136.23,906.4591220000028
31,1589384039873.0,9136.23,9188.0,9130.7,9143.8,899.9330509999975
