,_t,_o,_h,_l,_c,_v
0,1589246661164.0,69.53,69.71,69.53,69.71,87.38781
1,1589247023242.0,69.71,69.72,69.71,69.72,111.25004999999999
2,1589247024669.0,69.72,69.82,69.63,69.82,149.62226
3,1589247148000.0,69.82,69.95,69.82,69.89,107.60679000000003
4,1589247197454.0,69.89,69.89,69.82,69.82,95.57013
5,1589247197454.0,69.82,69.82,69.8,69.8,144.43639000000002
6,1589247197454.0,69.8,69.88,69.8,69.85,133.05894
7,1589247209220.0,69.85,69.85,69.8,69.8,148.5267
8,1589247209220.0,69.8,69.8,69.76,69.76,179.61047
9,1589247209220.0,69.76,69.76,69.72,69.72,114.368
10,1589247209220.0,69.72,69.8,69.71,69.76,108.94163
11,1589247210372.0,69.76,69.81,69.57,69.59,147.01821999999999
12,1589247426689.0,69.59,69.74,69.43,69.74,89.54142
13,1589248079320.0,69.74,69.76,69.74,69.76,121.30221
14,1589248079338.0,69.76,69.76,69.7,69.73,117.75601
15,1589248107892.0,69.73,69.76,69.73,69.76,153.67803
16,1589248107892.0,69.76,69.81,69.76,69.81,98.25638
17,1589248118275.0,69.81,69.82,69.81,69.82,121.9
18,1589248118275.0,69.82,69.9,69.82,69.9,93.85723
19,1589248118275.0,69.9,69.92,69.9,69.92,109.45695
20,1589248118275.0,69.92,69.97,69.92,69.97,99.5205
21,1589248118275.0,69.97,69.97,69.84,69.88,88.63282
22,1589248118979.0,69.88,69.88,69.87,69.87,86.47028
23,1589248119046.0,69.87,69.99,69.87,69.87,87.14782000000001
24,1589248143104.0,69.87,70.02,69.87,70.02,115.99132
25,1589248151113.0,70.02,70.16,69.98,70.1,86.84362
26,1589248323653.0,70.1,70.15,70.06,70.15,125.07216
27,1589248385199.0,70.15,70.31,70.15,70.31,92.23461000000002
28,1589248503273.0,70.31,70.31,70.16,70.28,106.59546000000002
29,1589248624239.0,70.28,70.44,70.19,70.44,85.82542
30,1589248825274.0,70.44,70.47,70.37,70.39,85.25347
31,1589248965319.0,70.39,70.39,70.26,70.34,91.41499
32,1589249169109.0,70.34,70.35,70.11,70.17,111.47009
33,1589249304074.0,70.17,70.17,70.09,70.11,111.3559
34,1589249322503.0,70.11,70.11,70.06,70.1,96.21706
35,1589249327640.0,70.1,70.1,70.02,70.02,103.59144
36,1589249342560.0,70.02,70.18,69.99,70.18,97.20200000000001
37,1589249502346.0,70.18,70.31,70.18,70.28,85.45939
38,1589249736804.0,70.28,70.47,70.19,70.22,87.22567
39,1589250118722.0,70.22,70.27,70.13,70.25,85.84307999999999
40,1589250478077.0,70.25,70.39,70.2,70.39,105.84397000000001
41,1589251245741.0,70.39,70.47,70.39,70.46,106.94860000000001
42,1589251248785.0,70.46,70.5,70.46,70.5,97.74092
43,1589251250991.0,70.5,70.61,70.5,70.53,86.40871000000001
44,1589251261452.0,70.53,70.55,70.52,70.54,87.76833
45,1589251263874.0,70.54,70.57,70.54,70.56,116.18775
46,1589251265506.0,70.56,70.61,70.56,70.61,93.07505
47,1589251268504.0,70.61,70.67,70.61,70.63,85.74330999999998
48,1589251282284.0,70.63,70.72,70.62,70.72,85.78053
49,1589251472365.0,70.72,70.76,70.53,70.53,84.89599
50,1589251750021.0,70.53,70.87,70.53,70.81,86.80180000000003
51,1589251850881.0,70.81,70.83,70.7,70.77,148.53064
52,1589251872968.0,70.77,70.77,70.54,70.65,87.93705
53,1589252027789.0,70.65,70.66,70.64,70.64,109.90704
54,1589252038708.0,70.64,70.72,70.6,70.6,121.98905000000002
55,1589252234717.0,70.6,70.6,70.47,70.47,87.06953
56,1589252236278.0,70.47,70.56,70.45,70.53,96.10108
57,1589252238378.0,70.53,70.73,70.42,70.47,86.73527000000001
58,1589253054656.0,70.47,70.49,70.35,70.42,95.19933999999999
59,1589253415413.0,70.42,70.56,70.42,70.48,86.32785
60,1589253914843.0,70.48,70.51,70.35,70.35,85.62790000000001
61,1589254108492.0,70.35,70.44,70.3,70.39,85.59339999999999
62,1589254232052.0,70.39,70.39,70.17,70.19,86.80653000000001
63,1589254351555.0,70.19,70.2,70.05,70.05,86.08529000000003
64,1589254604308.0,70.05,70.09,69.96,69.96,93.21109999999999
65,1589254613409.0,69.96,69.96,69.88,69.95,86.41128
66,1589254624921.0,69.95,70.01,69.88,70.0,95.14441
67,1589254714608.0,70.0,70.09,69.95,70.09,93.46262999999999
68,1589254740636.0,70.09,70.14,70.09,70.14,92.24767
69,1589254742918.0,70.14,70.17,70.14,70.14,85.80454
70,1589254755029.0,70.14,70.29,70.13,70.24,86.59932
71,1589254814030.0,70.24,70.46,70.2,70.34,109.08697000000001
72,1589254918830.0,70.34,70.36,70.28,70.29,89.10737
73,1589255054269.0,70.29,70.29,70.13,70.17,93.83420999999998
74,1589255393145.0,70.17,70.36,70.1,70.27,85.69524000000001
75,1589255567171.0,70.27,70.27,70.12,70.17,88.65559
76,1589255576513.0,70.17,70.29,70.12,70.19,86.63615
77,1589256023673.0,70.19,70.32,70.05,70.32,91.99579000000001
78,1589256181968.0,70.32,70.32,70.21,70.21,90.24749999999999
79,1589256342505.0,70.21,70.21,70.04,70.04,85.93342
