,_t,_o,_h,_l,_c,_v
0,1589068801594.0,2.7516,2.7554,2.7418,2.7418,68604.96
1,1589068994532.0,2.7418,2.7449,2.739,2.7391,68601.52000000002
2,1589069039329.0,2.7391,2.747,2.73,2.73,68870.59999999999
3,1589069116241.0,2.73,2.732,2.722,2.732,68990.03000000001
4,1589069148549.0,2.732,2.7377,2.7256,2.731,68937.17999999998
5,1589069292898.0,2.731,2.7389,2.7209,2.7209,69424.84000000001
6,1589069622477.0,2.7209,2.725,2.7134,2.7144,69937.92000000006
7,1589069662323.0,2.7144,2.7166,2.701,2.701,69903.70000000004
8,1589069695492.0,2.701,2.7041,2.6861,2.696,70741.47
9,1589069698231.0,2.696,2.6975,2.6738,2.6803,70009.73000000007
10,1589069710777.0,2.6803,2.6809,2.63,2.6434,71003.26999999996
11,1589069716119.0,2.6434,2.65,2.63,2.6317,71386.09
12,1589069723868.0,2.6317,2.6367,2.6147,2.6186,73947.66999999998
13,1589069734546.0,2.6186,2.6214,2.5969,2.5969,72159.12000000001
14,1589069745045.0,2.5969,2.601,2.5419,2.5751,73195.74999999996
15,1589069748347.0,2.5751,2.601,2.5714,2.601,72840.82999999994
16,1589069760184.0,2.601,2.6072,2.5925,2.5993,72308.71000000002
17,1589069776164.0,2.5993,2.5999,2.5863,2.5993,72937.36000000006
18,1589069787144.0,2.5993,2.5993,2.5924,2.5941,72445.78000000001
19,1589069801395.0,2.5941,2.5965,2.5707,2.5707,73326.70000000003
20,1589069811896.0,2.5707,2.5806,2.5454,2.5497,73581.44000000008
21,1589069827904.0,2.5497,2.5499,2.5043,2.5043,75004.53999999996
22,1589069844639.0,2.5043,2.5097,2.4754,2.4754,75430.26000000001
23,1589069859277.0,2.4754,2.4878,2.469,2.48,76536.94
24,1589069882016.0,2.48,2.4911,2.4783,2.4826,75648.05
25,1589069898795.0,2.4826,2.4891,2.4521,2.456,77187.84999999999
26,1589069914290.0,2.456,2.4561,2.4182,2.4214,80478.51000000001
27,1589069936670.0,2.4214,2.428,2.3924,2.4033,79206.87999999999
28,1589069964085.0,2.4033,2.4038,2.3746,2.3799,78696.62999999999
29,1589069995201.0,2.3799,2.3829,2.34,2.3455,80218.56000000006
30,1589070031253.0,2.3455,2.3508,2.3,2.3,84708.7
31,1589070059519.0,2.3,2.3115,2.2779,2.3059,85030.09000000003
32,1589070072635.0,2.3059,2.312,2.2954,2.2954,81682.54000000005
33,1589070096316.0,2.2954,2.3375,2.2861,2.3375,82152.65000000001
34,1589070130099.0,2.3375,2.3899,2.3211,2.3899,80169.41
35,1589070156189.0,2.3899,2.434,2.381,2.4187,78073.89000000003
36,1589070175549.0,2.4187,2.424,2.3851,2.3851,78389.65999999996
37,1589070203236.0,2.3851,2.3899,2.3307,2.3401,81256.31999999999
38,1589070240743.0,2.3401,2.3502,2.3324,2.348,80359.34000000001
39,1589070264748.0,2.348,2.3698,2.3456,2.3698,81082.23999999995
40,1589070290204.0,2.3698,2.3783,2.36,2.3714,79386.24000000005
41,1589070337500.0,2.3714,2.4021,2.3704,2.3911,78754.03
42,1589070368501.0,2.3911,2.4057,2.3837,2.4011,78706.55000000003
43,1589070413761.0,2.4011,2.4338,2.4004,2.4301,79238.61000000006
44,1589070450349.0,2.4301,2.4309,2.4039,2.4099,78220.15999999997
45,1589070479345.0,2.4099,2.4117,2.4,2.4,78257.34999999998
46,1589070507294.0,2.4,2.4047,2.3859,2.396,79034.73999999993
47,1589070538135.0,2.396,2.4033,2.3887,2.3954,78579.80999999992
