,_t,_o,_h,_l,_c,_v
0,1589068800217.0,7.0578,7.0655,6.9817,6.9851,21600.87
1,1589069100793.0,6.9851,6.9893,6.9527,6.9689,21694.04
2,1589069205333.0,6.9689,6.9925,6.9231,6.9231,22575.48999999999
3,1589069435559.0,6.9231,6.9259,6.8894,6.8894,21971.75
4,1589069442270.0,6.8894,6.8894,6.8623,6.8623,21992.219999999987
5,1589069446705.0,6.8623,6.9056,6.8478,6.8821,21990.669999999984
6,1589069470696.0,6.8821,6.915,6.85,6.85,22303.850000000006
7,1589069661272.0,6.85,6.85,6.7762,6.7918,22190.699999999986
8,1589069682418.0,6.7918,6.7939,6.6683,6.74,22493.090000000004
9,1589069688622.0,6.74,6.7648,6.6648,6.6813,22514.570000000032
10,1589069700666.0,6.6813,6.6813,6.5874,6.5942,22939.839999999993
11,1589069728536.0,6.5942,6.5994,6.4827,6.5145,23138.379999999997
12,1589069735031.0,6.5145,6.6379,6.5137,6.5964,22963.880000000026
13,1589069797086.0,6.5964,6.6126,6.4606,6.5119,23040.15000000001
14,1589069823409.0,6.5119,6.5372,6.4566,6.4797,23412.530000000017
15,1589069838772.0,6.4797,6.4895,6.4105,6.4105,24258.400000000016
16,1589069855901.0,6.4105,6.4613,6.3562,6.4446,23510.349999999984
17,1589069897734.0,6.4446,6.4654,6.1488,6.15,23874.84999999997
18,1589069942090.0,6.15,6.19,6.0,6.0,24860.329999999976
19,1589069961608.0,6.0,6.0116,5.9147,5.965,25362.650000000016
20,1589069974965.0,5.965,6.0077,5.89,6.0077,25488.910000000014
21,1589070001676.0,6.0077,6.0347,5.9743,6.0033,25155.559999999983
22,1589070029997.0,6.0033,6.0132,5.9208,5.9437,25262.509999999987
23,1589070047762.0,5.9437,5.9437,5.7136,5.7446,26038.289999999986
24,1589070075131.0,5.7446,5.7487,5.5705,5.6016,26699.899999999998
25,1589070096582.0,5.6016,5.6074,5.5327,5.5816,27320.549999999996
26,1589070126511.0,5.5816,5.6558,5.5721,5.6476,27554.36
27,1589070145994.0,5.6476,5.8528,5.647,5.8196,26359.849999999973
28,1589070185728.0,5.8196,5.865,5.7847,5.7847,25905.959999999985
29,1589070225863.0,5.7847,5.8081,5.7237,5.7399,26371.779999999988
30,1589070288225.0,5.7399,5.9061,5.7399,5.8519,26090.080000000016
31,1589070334259.0,5.8519,5.9438,5.8301,5.924,25726.95000000001
32,1589070372912.0,5.924,5.9734,5.9139,5.9646,25831.090000000004
33,1589070401782.0,5.9646,6.0253,5.9554,6.0253,25290.030000000006
34,1589070423145.0,6.0253,6.1054,6.0105,6.0432,25400.16000000001
35,1589070447601.0,6.0432,6.0447,5.9773,5.9773,25631.110000000004
36,1589070457482.0,5.9773,6.0147,5.9147,5.9567,25627.07000000002
37,1589070468943.0,5.9567,5.9867,5.9147,5.9867,25582.48999999998
38,1589070508196.0,5.9867,5.9886,5.9138,5.9399,25598.360000000008
39,1589070529064.0,5.9399,5.9511,5.8989,5.9276,25492.85999999999
40,1589070539013.0,5.9276,5.9329,5.8786,5.9006,25642.259999999995
41,1589070553861.0,5.9006,5.9318,5.8771,5.8972,25595.680000000055
42,1589070576668.0,5.8972,5.8974,5.82,5.8477,25815.920000000013
43,1589070626537.0,5.8477,5.9478,5.8448,5.9131,25621.529999999955
44,1589070671266.0,5.9131,5.9613,5.8971,5.9477,25634.349999999995
45,1589070717655.0,5.9477,6.0253,5.9358,6.0253,25349.629999999986
46,1589070779190.0,6.0253,6.0323,5.9977,6.0,26364.09
47,1589070792783.0,6.0,6.0,5.9534,6.0,25327.12
48,1589070825626.0,6.0,6.0845,6.0,6.0761,25052.59999999999
49,1589070851775.0,6.0761,6.1009,6.0384,6.0584,25371.549999999996
50,1589070886988.0,6.0584,6.0886,5.9981,5.9981,25009.550000000017
51,1589070928854.0,5.9981,6.0439,5.9858,6.0201,25118.830000000016
52,1589070980233.0,6.0201,6.0396,5.95,5.95,25623.98999999998
53,1589071027531.0,5.95,5.9621,5.9084,5.949,25919.649999999994
54,1589071059335.0,5.949,6.0507,5.9392,6.0459,25179.71000000001
55,1589071119803.0,6.0459,6.0846,6.0059,6.0591,24953.22
56,1589071221427.0,6.0591,6.07,6.0079,6.07,25996.34000000001
57,1589071285895.0,6.07,6.0929,6.0315,6.084,25957.55000000001
58,1589071340009.0,6.084,6.1044,6.0605,6.0643,24831.41000000001
59,1589071418488.0,6.0643,6.1,6.0568,6.1,25037.54
60,1589071505103.0,6.1,6.1386,6.0793,6.1364,24803.869999999988
61,1589071609001.0,6.1364,6.2,6.1174,6.2,24530.949999999993
62,1589071680887.0,6.2,6.2187,6.15,6.17,25235.860000000004
63,1589071734239.0,6.17,6.22,6.17,6.22,24497.290000000008
64,1589071781799.0,6.22,6.2894,6.2157,6.2825,24206.220000000016
65,1589071847588.0,6.2825,6.2888,6.2,6.2234,24272.819999999996
66,1589071893281.0,6.2234,6.2653,6.1953,6.2002,24304.35000000001
67,1589071953540.0,6.2002,6.2226,6.1776,6.2153,24381.09000000002
68,1589072016317.0,6.2153,6.2208,6.1634,6.1634,24392.550000000007
69,1589072129769.0,6.1634,6.1873,6.1325,6.1476,25251.44
70,1589072179237.0,6.1476,6.1497,6.0191,6.0191,24955.900000000012
71,1589072237270.0,6.0191,6.0492,5.9666,6.0492,25293.73999999999
72,1589072263520.0,6.0492,6.1664,6.0451,6.1664,24828.239999999987
73,1589072314208.0,6.1664,6.215,6.1318,6.182,24833.069999999996
74,1589072396838.0,6.182,6.182,6.0964,6.1151,24624.54000000002
75,1589072461060.0,6.1151,6.2129,6.1148,6.1831,24483.17000000001
76,1589072513526.0,6.1831,6.2095,6.1584,6.1584,24479.91999999997
77,1589072594322.0,6.1584,6.2195,6.1471,6.2169,24408.769999999986
78,1589072676610.0,6.2169,6.2183,6.1541,6.1755,24684.620000000006
79,1589072771648.0,6.1755,6.2,6.165,6.1949,24411.04999999999
80,1589072829395.0,6.1949,6.2198,6.1887,6.1951,24383.510000000006
81,1589072869340.0,6.1951,6.2461,6.1789,6.2148,24339.879999999994
82,1589072984389.0,6.2148,6.226,6.1524,6.1745,24517.62999999999
83,1589073062467.0,6.1745,6.2202,6.1674,6.181,25241.079999999994
84,1589073194334.0,6.181,6.2126,6.1643,6.1827,24413.750000000015
85,1589073340395.0,6.1827,6.199,6.1513,6.199,24566.79000000002
86,1589073625824.0,6.199,6.2379,6.199,6.2127,24298.199999999983
87,1589073744531.0,6.2127,6.2609,6.2093,6.259,24240.170000000002
88,1589073884499.0,6.259,6.289,6.2558,6.289,25081.38000000001
89,1589073969152.0,6.289,6.3283,6.2774,6.3206,24418.930000000015
90,1589074074172.0,6.3206,6.3229,6.2518,6.2928,24159.270000000004
91,1589074168985.0,6.2928,6.3073,6.25,6.25,24350.849999999984
92,1589074251337.0,6.25,6.2688,6.213,6.213,24906.569999999996
93,1589074288154.0,6.213,6.2384,6.2094,6.2367,24291.610000000004
94,1589074328817.0,6.2367,6.2367,6.1792,6.1854,24390.939999999995
95,1589074394490.0,6.1854,6.2154,6.1702,6.2012,24401.69
96,1589074508704.0,6.2012,6.256,6.19,6.25,24327.850000000017
97,1589074767584.0,6.25,6.2681,6.2062,6.2062,24231.42999999998
98,1589075104896.0,6.2062,6.2081,6.1267,6.1389,25005.449999999968
99,1589075258764.0,6.1389,6.2121,6.1278,6.2097,24496.689999999984
100,1589075500401.0,6.2097,6.24,6.1918,6.2122,24296.250000000015
101,1589075738250.0,6.2122,6.2746,6.2106,6.2611,24190.079999999973
102,1589075914017.0,6.2611,6.2655,6.1934,6.2237,24292.730000000014
103,1589076221454.0,6.2237,6.2456,6.1978,6.2384,24285.48000000003
104,1589076739127.0,6.2384,6.2384,6.1682,6.1693,24402.620000000003
105,1589077170557.0,6.1693,6.2375,6.1693,6.2251,24438.950000000008
106,1589077670640.0,6.2251,6.28,6.217,6.2735,24272.78
107,1589078119865.0,6.2735,6.2806,6.2176,6.2233,24180.559999999972
108,1589078486304.0,6.2233,6.3043,6.2216,6.2961,24154.33000000002
109,1589078711762.0,6.2961,6.3116,6.2621,6.2658,24077.549999999956
110,1589078974554.0,6.2658,6.2677,6.1803,6.2093,24289.770000000008
111,1589079290133.0,6.2093,6.231,6.1803,6.2259,24393.540000000045
112,1589079686846.0,6.2259,6.2438,6.15,6.15,24709.08999999999
113,1589080119455.0,6.15,6.1805,6.0845,6.0845,24601.269999999997
114,1589080314443.0,6.0845,6.1234,6.0177,6.1234,25001.28000000001
115,1589080384871.0,6.1234,6.1667,6.1213,6.1421,24665.149999999983
116,1589080475187.0,6.1421,6.1787,6.1202,6.1766,24573.550000000025
117,1589080720784.0,6.1766,6.1804,6.1411,6.1554,24528.179999999986
118,1589081081356.0,6.1554,6.1875,6.1461,6.1763,24499.450000000008
119,1589081508840.0,6.1763,6.2222,6.1759,6.2099,24369.039999999986
120,1589081875492.0,6.2099,6.2192,6.1537,6.1793,24444.49000000001
