,_t,_o,_h,_l,_c,_v
0,1589365026675.0,190.06,190.28,189.61,189.94,7734.805130000006
1,1589365954222.0,189.94,190.32,189.76,190.32,7794.976780000007
2,1589367047403.0,190.32,190.84,190.11,190.81,7756.964200000016
3,1589367650187.0,190.81,190.96,190.45,190.65,7694.923810000009
4,1589368458392.0,190.65,190.88,190.0,190.1,7956.414109999999
5,1589369419099.0,190.1,190.48,190.02,190.34,7814.9745299999995
6,1589370263916.0,190.34,191.03,190.33,190.63,7698.1852399999925
7,1589370694752.0,190.63,191.26,190.6,191.25,7684.546330000009
8,1589371292603.0,191.25,191.26,190.59,190.92,7687.542969999986
9,1589372597327.0,190.92,191.9,190.74,191.83,7963.88739000001
10,1589373775943.0,191.83,192.68,191.73,192.6,7693.202539999999
11,1589373800454.0,192.6,193.0,192.19,192.87,7805.9045000000015
12,1589373856684.0,192.87,193.5,192.85,193.41,8351.251590000007
13,1589373890916.0,193.41,194.0,193.4,194.0,7645.072919999999
14,1589373912249.0,194.0,194.09,193.0,193.13,7583.638239999987
15,1589374031569.0,193.13,194.14,193.13,194.14,7605.725319999997
16,1589374144051.0,194.14,194.47,194.01,194.47,7940.643990000008
17,1589374210446.0,194.47,194.47,193.79,193.91,7575.118549999992
18,1589374627424.0,193.91,194.9,193.59,194.9,7583.081069999995
19,1589374856861.0,194.9,195.24,193.9,193.99,7539.9571299999825
20,1589374971716.0,193.99,194.24,193.45,193.8,7591.659670000001
21,1589375571151.0,193.8,193.9,193.34,193.82,7592.094829999994
22,1589376145259.0,193.82,194.36,193.68,193.98,7567.639030000014
23,1589376786006.0,193.98,194.31,193.68,193.7,7646.458099999975
24,1589377615877.0,193.7,194.6,193.53,194.51,7564.766379999999
25,1589378296156.0,194.51,195.37,194.47,195.37,7536.517059999989
26,1589378586241.0,195.37,195.89,195.29,195.68,7505.663380000008
27,1589378636169.0,195.68,195.8,195.25,195.8,7535.792879999996
28,1589379144616.0,195.8,196.21,195.75,196.04,7489.892819999993
29,1589379294762.0,196.04,196.62,196.04,196.62,7481.303320000002
30,1589379435184.0,196.62,197.13,196.6,197.05,7458.590349999989
31,1589379486532.0,197.05,197.39,196.83,197.14,7455.145050000003
32,1589379627179.0,197.14,197.83,197.14,197.71,7442.418449999996
33,1589379712984.0,197.71,198.05,197.33,197.35,7425.662169999996
34,1589379802321.0,197.35,197.38,196.65,196.98,7455.914679999988
35,1589380179658.0,196.98,197.17,195.77,195.91,7469.106149999994
36,1589380679036.0,195.91,196.6,195.52,195.79,7502.366969999989
37,1589381236748.0,195.79,196.73,195.5,196.64,7490.77847
38,1589381736963.0,196.64,197.44,196.3,196.4,7479.456510000013
39,1589382481758.0,196.4,197.53,196.4,197.4,7450.956849999991
40,1589383081191.0,197.4,197.54,197.02,197.54,7444.458509999986
41,1589383867068.0,197.54,198.41,197.51,198.27,7424.558079999991
42,1589384095854.0,198.27,198.42,197.5,198.05,7435.567080000003
43,1589384723709.0,198.05,198.09,197.41,197.47,7426.86408999999
44,1589385468511.0,197.47,198.9,197.46,198.9,7436.895540000001
45,1589385662193.0,198.9,199.24,198.46,198.81,7386.363640000004
46,1589385725305.0,198.81,198.89,196.65,197.17,7433.895829999984
47,1589386240224.0,197.17,197.47,196.32,196.35,7522.50172999999
48,1589386780477.0,196.35,197.3,196.15,196.52,7468.203810000002
49,1589387409310.0,196.52,197.18,196.01,196.6,7468.011989999984
50,1589388081063.0,196.6,197.05,196.29,196.5,7468.4910500000115
51,1589389491820.0,196.5,196.73,195.5,195.79,7488.923849999991
52,1589390171506.0,195.79,196.4,195.38,196.32,7499.633189999979
53,1589391367302.0,196.32,196.74,195.89,196.5,7483.167480000018
54,1589393042552.0,196.5,197.0,196.33,196.37,7463.8661499999735
55,1589395393635.0,196.37,196.85,196.11,196.31,7478.632209999986
56,1589397793695.0,196.31,197.1,195.91,196.8,7496.429629999984
57,1589399491237.0,196.8,198.0,196.45,197.88,7451.117070000006
58,1589400262154.0,197.88,198.08,197.25,197.81,7474.805449999967
59,1589401075497.0,197.81,198.34,197.56,197.97,7414.118849999969
60,1589401761123.0,197.97,198.87,197.6,198.4,7406.83150000003
61,1589402807996.0,198.4,198.54,197.73,198.53,7411.146870000004
62,1589403904005.0,198.53,198.89,197.96,198.0,7419.154099999987
63,1589404681463.0,198.0,198.5,197.28,197.57,7414.4667100000015
64,1589405887804.0,197.57,198.7,197.52,198.7,7429.968729999996
65,1589406537163.0,198.7,199.11,198.64,199.11,7391.701100000002
66,1589406751962.0,199.11,199.21,198.98,199.2,7374.062569999998
67,1589406877742.0,199.2,199.93,199.2,199.92,8107.449260000015
68,1589407034216.0,199.92,200.51,199.92,200.51,7337.235189999987
69,1589407079266.0,200.51,201.0,200.28,200.79,7348.582609999994
70,1589407207324.0,200.79,201.0,199.72,200.0,7868.968210000003
71,1589407410664.0,200.0,200.45,199.54,200.0,7347.9044099999965
72,1589408305288.0,200.0,200.36,199.92,199.98,7341.066779999986
73,1589409100613.0,199.98,200.22,198.55,198.55,7364.931559999994
74,1589410056522.0,198.55,199.62,198.22,199.0,7382.499359999989
75,1589411654056.0,199.0,199.99,198.52,199.7,7362.825700000013
76,1589413041071.0,199.7,200.19,199.41,199.55,7347.884520000024
77,1589414276756.0,199.55,200.13,199.29,200.0,7421.628770000003
78,1589415257767.0,200.0,200.9,199.82,200.0,7331.578869999996
79,1589415822072.0,200.0,200.07,198.5,198.9,7421.94691
