,_t,_o,_h,_l,_c,_v
0,1589365066038.0,3.6801,3.6891,3.6798,3.6815,48293.920000000006
1,1589365352503.0,3.6815,3.6899,3.6805,3.6857,48239.07000000001
2,1589365383408.0,3.6857,3.6987,3.6708,3.6958,48213.499999999935
3,1589367316519.0,3.6958,3.714,3.691,3.7014,47832.13999999999
4,1589367896639.0,3.7014,3.71,3.6953,3.7047,47814.68999999997
5,1589368675175.0,3.7047,3.71,3.6905,3.71,48026.95
6,1589369848416.0,3.71,3.7258,3.7038,3.7174,47860.899999999994
7,1589370356775.0,3.7174,3.7348,3.7163,3.7173,47790.39999999998
8,1589370489591.0,3.7173,3.7273,3.715,3.7259,47854.20000000001
9,1589371264504.0,3.7259,3.7284,3.7062,3.7141,47663.31000000005
10,1589372749126.0,3.7141,3.738,3.7118,3.7357,47635.080000000016
11,1589373908921.0,3.7357,3.74,3.7303,3.7397,48021.71
12,1589374208849.0,3.7397,3.7397,3.7279,3.7323,47604.259999999995
13,1589374513801.0,3.7323,3.742,3.7323,3.7399,47516.119999999966
14,1589374810821.0,3.7399,3.7424,3.73,3.73,47425.250000000015
15,1589375229301.0,3.73,3.735,3.73,3.7334,47429.06999999998
16,1589375926554.0,3.7334,3.7494,3.7324,3.7464,47341.529999999984
17,1589376423708.0,3.7464,3.7498,3.7309,3.732,47727.99000000002
18,1589377343456.0,3.732,3.745,3.7283,3.7444,47425.640000000014
19,1589378410239.0,3.7444,3.7532,3.7393,3.75,47487.4100000001
20,1589379133902.0,3.75,3.757,3.7458,3.7515,47192.53999999998
21,1589379536846.0,3.7515,3.7571,3.7444,3.7496,48122.119999999995
22,1589379908520.0,3.7496,3.755,3.7427,3.7446,47723.89000000002
23,1589380583352.0,3.7446,3.7485,3.7345,3.7358,47446.81
24,1589381133457.0,3.7358,3.7391,3.73,3.735,48109.95999999997
25,1589381357739.0,3.735,3.744,3.726,3.744,47470.260000000046
26,1589381880261.0,3.744,3.7565,3.7421,3.7549,47255.60999999999
27,1589382871125.0,3.7549,3.758,3.749,3.758,47502.52
28,1589383867538.0,3.758,3.7698,3.7574,3.7614,47048.500000000015
29,1589384137684.0,3.7614,3.7681,3.7554,3.7671,47712.86
30,1589384566241.0,3.7671,3.7738,3.7638,3.7674,46966.74000000001
31,1589385113988.0,3.7674,3.7788,3.7642,3.7785,46988.78
32,1589385656027.0,3.7785,3.7845,3.77,3.77,50643.60000000002
33,1589385810328.0,3.77,3.7713,3.7569,3.759,47091.60999999997
34,1589386028114.0,3.759,3.7658,3.7458,3.7458,47492.339999999975
