,_t,_o,_h,_l,_c,_v
0,1589365029903.0,42.3,42.33,42.16,42.24,3531.7136200000014
1,1589366835703.0,42.24,42.3,42.22,42.3,4716.8954699999995
2,1589367367862.0,42.3,42.39,42.29,42.38,3543.8028500000028
3,1589367663533.0,42.38,42.41,42.34,42.35,3496.6023899999986
4,1589367943242.0,42.35,42.44,42.3,42.3,3505.671020000001
5,1589369007423.0,42.3,42.39,42.26,42.39,3731.9927100000014
6,1589370338768.0,42.39,42.49,42.37,42.49,3491.5492300000005
7,1589370413066.0,42.49,42.54,42.42,42.52,3493.394650000004
8,1589370861612.0,42.52,42.53,42.48,42.52,3510.320499999999
9,1589371109689.0,42.52,42.59,42.43,42.47,3500.22679
10,1589371441624.0,42.47,42.54,42.42,42.43,3482.6634799999997
11,1589371787296.0,42.43,42.5,42.4,42.43,3493.0329999999994
12,1589372680621.0,42.43,42.55,42.42,42.55,3495.357390000001
13,1589373750088.0,42.55,42.84,42.55,42.84,3562.853019999999
14,1589373911424.0,42.84,42.96,42.82,42.88,3452.5467399999984
15,1589373919428.0,42.88,42.92,42.73,42.85,3490.890499999999
16,1589374266321.0,42.85,42.87,42.69,42.73,3459.2570400000013
17,1589374733410.0,42.73,42.86,42.73,42.8,3461.442480000001
18,1589374947238.0,42.8,42.8,42.68,42.68,3477.8793999999994
19,1589375668089.0,42.68,42.83,42.65,42.8,3491.4326400000004
20,1589376762458.0,42.8,42.8,42.66,42.67,3547.079579999999
21,1589377486801.0,42.67,42.9,42.63,42.88,3475.9002299999947
22,1589378595177.0,42.88,42.9,42.78,42.84,3822.188250000002
23,1589379250520.0,42.84,42.89,42.8,42.89,3470.0303599999984
24,1589379549775.0,42.89,43.05,42.86,43.05,3514.4580300000016
25,1589379743028.0,43.05,43.07,42.86,42.88,3558.919730000002
26,1589379911040.0,42.88,42.91,42.77,42.88,3583.2256500000008
27,1589380342506.0,42.88,42.9,42.74,42.8,3462.797869999999
28,1589381154614.0,42.8,42.8,42.62,42.64,3467.6776200000004
29,1589381355349.0,42.64,42.77,42.64,42.77,3529.707619999999
30,1589381540459.0,42.77,42.95,42.76,42.95,3464.8990700000036
31,1589382628653.0,42.95,43.09,42.94,43.03,3469.8957000000028
32,1589382996298.0,43.03,43.15,43.01,43.07,3462.793360000003
33,1589383292647.0,43.07,43.17,42.99,43.16,3437.0600600000025
34,1589384053053.0,43.16,43.41,43.16,43.32,3431.596559999999
35,1589384095223.0,43.32,43.36,43.23,43.23,3431.032520000001
36,1589384132838.0,43.23,43.27,43.14,43.27,3426.5353500000024
37,1589384583163.0,43.27,43.3,43.1,43.13,3481.2644399999995
38,1589384857817.0,43.13,43.25,43.09,43.13,3602.7128499999963
39,1589385129742.0,43.13,43.38,43.07,43.36,3426.6501100000005
40,1589385662388.0,43.36,43.57,43.35,43.48,3410.4778499999993
41,1589385684225.0,43.48,43.53,43.36,43.53,3423.3564800000013
42,1589385707032.0,43.53,43.55,43.39,43.45,3414.524730000002
43,1589385777242.0,43.45,43.52,43.34,43.34,3437.5342099999957
44,1589385825949.0,43.34,43.34,43.04,43.07,3427.9245800000003
45,1589386058800.0,43.07,43.23,43.07,43.08,3449.100789999997
46,1589386621080.0,43.08,43.11,43.0,43.05,3484.716949999999
47,1589386894211.0,43.05,43.19,42.89,42.91,3448.2748000000006
48,1589387360440.0,42.91,42.99,42.81,42.81,3560.5177600000015
49,1589387799113.0,42.81,43.0,42.78,43.0,3617.37665
50,1589388186984.0,43.0,43.06,42.84,42.96,3444.1553000000013
51,1589389110432.0,42.96,42.98,42.72,42.73,3590.8250399999997
52,1589389904648.0,42.73,42.89,42.69,42.86,3462.2018899999953
53,1589391097731.0,42.86,43.02,42.86,43.01,3501.55556
54,1589392619242.0,43.01,43.14,42.97,43.06,3454.8810399999993
55,1589394094124.0,43.06,43.08,42.96,42.98,3440.6840400000015
56,1589395302364.0,42.98,43.0,42.84,43.0,3510.904590000001
57,1589397031825.0,43.0,43.07,42.92,43.03,3451.2804399999964
58,1589398551773.0,43.03,43.12,43.03,43.07,3573.6038700000013
59,1589399350380.0,43.07,43.11,42.95,43.05,3482.519590000001
60,1589400194135.0,43.05,43.14,43.04,43.13,3451.3015900000005
61,1589400269603.0,43.13,43.13,42.99,43.09,3462.276359999998
62,1589400632339.0,43.09,43.26,43.04,43.26,3429.3917100000017
63,1589401097815.0,43.26,43.34,43.24,43.3,3439.461020000001
64,1589401304317.0,43.3,43.36,43.2,43.25,3696.0052700000006
65,1589402249426.0,43.25,43.39,43.25,43.32,3445.79153
66,1589402785556.0,43.32,43.34,43.2,43.23,3426.14686
67,1589403554039.0,43.23,43.38,43.23,43.33,3426.8663900000015
68,1589404017769.0,43.33,43.39,43.23,43.28,3419.7680500000024
69,1589404865766.0,43.28,43.38,43.25,43.31,3420.507730000005
70,1589405342631.0,43.31,43.37,43.24,43.37,3540.724260000004
71,1589406034205.0,43.37,43.54,43.36,43.53,3435.0169500000015
72,1589406426492.0,43.53,43.73,43.53,43.57,3443.093189999999
