,_t,_o,_h,_l,_c,_v
0,1589068800852.0,0.01609,0.01611,0.01602,0.01602,6151987.000000004
1,1589069033766.0,0.01602,0.01604,0.016,0.016,6151031.400000001
2,1589069073738.0,0.016,0.01601,0.01597,0.01597,6081482.299999998
3,1589069084228.0,0.01597,0.01598,0.01588,0.0159,6104966.8999999985
4,1589069097254.0,0.0159,0.01593,0.01581,0.01581,6163422.299999997
5,1589069113485.0,0.01581,0.01583,0.01574,0.01576,6200547.6
6,1589069121770.0,0.01576,0.01578,0.0157,0.01576,6170482.3
7,1589069150887.0,0.01576,0.01579,0.01571,0.01577,6211811.700000002
8,1589069179818.0,0.01577,0.01587,0.01577,0.0158,6137259.199999996
9,1589069280455.0,0.0158,0.01583,0.01576,0.01578,6140292.3999999985
10,1589069436175.0,0.01578,0.01583,0.0157,0.0157,6239494.299999998
11,1589069679864.0,0.0157,0.01571,0.01558,0.01558,6303628.799999999
12,1589069705043.0,0.01558,0.0156,0.01549,0.01549,6259559.999999999
13,1589069712950.0,0.01549,0.01551,0.01525,0.01532,6315666.6
14,1589069736069.0,0.01532,0.01532,0.01525,0.01526,6389826.099999999
15,1589069779081.0,0.01526,0.01531,0.01523,0.01523,6402229.899999995
16,1589069815036.0,0.01523,0.01523,0.015,0.015,6453241.999999996
17,1589069836128.0,0.015,0.01504,0.01468,0.01474,6517731.200000006
18,1589069852861.0,0.01474,0.01482,0.01454,0.01455,6643575.699999997
19,1589069882970.0,0.01455,0.0146,0.01448,0.01448,6672883.499999998
20,1589069909819.0,0.01448,0.0145,0.0143,0.0143,6771566.8
21,1589069929665.0,0.0143,0.0143,0.014,0.014,6870654.5
22,1589069949578.0,0.014,0.01405,0.01383,0.01386,6973425.199999994
23,1589069964823.0,0.01386,0.01387,0.01376,0.01385,10498168.900000002
24,1589069992051.0,0.01385,0.01388,0.01363,0.01364,7028935.799999997
25,1589070024987.0,0.01364,0.01366,0.01317,0.01322,7224160.300000011
26,1589070065309.0,0.01322,0.01329,0.013,0.01302,7379692.399999993
27,1589070087263.0,0.01302,0.01306,0.01284,0.01294,7503950.3999999985
28,1589070109688.0,0.01294,0.01301,0.01285,0.01301,7504526.400000003
29,1589070121093.0,0.01301,0.01306,0.0129,0.01305,7524989.200000001
30,1589070138753.0,0.01305,0.01331,0.013,0.0133,7381086.600000001
31,1589070167257.0,0.0133,0.01336,0.01321,0.01328,7295671.799999999
32,1589070198225.0,0.01328,0.0133,0.01309,0.01315,7373196.499999993
33,1589070229118.0,0.01315,0.01317,0.013,0.01308,7426441.000000006
34,1589070262695.0,0.01308,0.01323,0.01306,0.0132,7377375.999999997
35,1589070297262.0,0.0132,0.0134,0.01318,0.01337,7343768.800000001
36,1589070329979.0,0.01337,0.01363,0.01335,0.01363,7195097.100000001
37,1589070357433.0,0.01363,0.01373,0.0136,0.01372,9496668.3
