,_t,_o,_h,_l,_c,_v
0,1589068800829.0,0.21642,0.21651,0.2155,0.21565,1053204.1
1,1589069001210.0,0.21565,0.21573,0.215,0.215,1055733.8999999997
2,1589069075111.0,0.215,0.21501,0.21429,0.21429,1069460.2999999993
3,1589069094264.0,0.21429,0.2146,0.21359,0.21393,1062691.1999999993
4,1589069130918.0,0.21393,0.21451,0.21354,0.21382,1061858.6000000008
5,1589069171119.0,0.21382,0.21473,0.21382,0.21433,1073523.1000000008
6,1589069392299.0,0.21433,0.21451,0.21353,0.21362,1061279.3000000007
7,1589069665397.0,0.21362,0.21383,0.21171,0.21189,1067211.4999999995
8,1589069699706.0,0.21189,0.21193,0.21,0.21018,1077398.0000000002
9,1589069717551.0,0.21018,0.21018,0.20734,0.20734,1102577.5
10,1589069725855.0,0.20734,0.20889,0.20734,0.20819,1095844.2000000002
11,1589069749362.0,0.20819,0.20951,0.20763,0.20889,1088094.2999999996
12,1589069779811.0,0.20889,0.20954,0.20805,0.20805,1087643.3999999997
13,1589069816463.0,0.20805,0.2085,0.20255,0.20255,1152152.8999999992
14,1589069827168.0,0.20255,0.20707,0.20255,0.20595,1126451.2999999998
15,1589069830904.0,0.20595,0.20629,0.2025,0.20263,1117336.9
16,1589069847576.0,0.20263,0.20284,0.201,0.20102,1146721.5000000002
17,1589069858723.0,0.20102,0.20162,0.2001,0.20062,1133107.3999999992
18,1589069880727.0,0.20062,0.20193,0.20028,0.20193,1130705.7999999998
19,1589069906957.0,0.20193,0.20272,0.20052,0.20119,1190299.2
20,1589069914256.0,0.20119,0.20119,0.198,0.198,1151794.9000000004
21,1589069932333.0,0.198,0.19832,0.19371,0.19371,1162880.3
22,1589069962082.0,0.19371,0.1946,0.19131,0.19336,1180874.799999999
23,1589069986872.0,0.19336,0.19346,0.19,0.19,1226290.2
24,1589070018659.0,0.19,0.1902,0.18876,0.18876,1197405.5000000002
25,1589070028816.0,0.18876,0.18953,0.18551,0.18551,1218090.7
26,1589070052249.0,0.18551,0.18619,0.1827,0.18286,1235738.9
27,1589070083332.0,0.18286,0.18313,0.18,0.18008,1251965.7
28,1589070108403.0,0.18008,0.18077,0.178,0.17999,1273938.000000001
29,1589070118724.0,0.17999,0.18273,0.17885,0.18238,1254355.0000000019
30,1589070138911.0,0.18238,0.1872,0.182,0.18663,1249622.6999999995
31,1589070169618.0,0.18663,0.19066,0.18663,0.19,1256397.4000000001
32,1589070187910.0,0.19,0.19305,0.18864,0.19135,1211555.7000000002
33,1589070216409.0,0.19135,0.19324,0.19063,0.19204,1181896.9
34,1589070240481.0,0.19204,0.19335,0.1915,0.19173,1180782.100000001
35,1589070285443.0,0.19173,0.19222,0.19,0.19045,1188537.9000000015
36,1589070315934.0,0.19045,0.19245,0.19001,0.19147,1192528.599999999
37,1589070366620.0,0.19147,0.19216,0.19058,0.192,1186389.2999999998
38,1589070396742.0,0.192,0.19281,0.1915,0.19281,1181027.1999999997
39,1589070422617.0,0.19281,0.19391,0.1926,0.19332,1173619.4999999995
40,1589070447173.0,0.19332,0.19365,0.19108,0.19175,1181290.0000000002
41,1589070473731.0,0.19175,0.19204,0.19086,0.19147,1226520.7000000007
42,1589070509055.0,0.19147,0.19173,0.19036,0.1907,1195721.0000000007
43,1589070539615.0,0.1907,0.19151,0.19024,0.191,1189145.9000000004
44,1589070592318.0,0.191,0.19125,0.18902,0.18925,1199945.4000000001
45,1589070628722.0,0.18925,0.19144,0.18882,0.19093,1199290.8000000003
46,1589070677166.0,0.19093,0.19135,0.19027,0.19074,1198095.1000000006
47,1589070709228.0,0.19074,0.19325,0.19066,0.19274,1188069.800000001
48,1589070758754.0,0.19274,0.19422,0.19216,0.19396,1173033.9000000008
49,1589070798619.0,0.19396,0.1949,0.19334,0.1949,1170678.8999999997
50,1589070866098.0,0.1949,0.19521,0.19404,0.1942,1174358.0999999992
51,1589070932260.0,0.1942,0.19518,0.1937,0.1943,1170813.7000000002
52,1589071012387.0,0.1943,0.19514,0.19378,0.195,1168002.6999999997
53,1589071058074.0,0.195,0.20094,0.19489,0.19643,1163822.3000000005
54,1589071109186.0,0.19643,0.19691,0.19613,0.19654,1157206.4000000004
55,1589071148058.0,0.19654,0.19744,0.196,0.1963,1154296.0999999999
56,1589071232528.0,0.1963,0.19653,0.19474,0.195,1163774.4000000001
57,1589071284846.0,0.195,0.19606,0.1947,0.19592,1166869.6999999993
58,1589071316126.0,0.19592,0.19696,0.19541,0.1962,1157838.2000000002
59,1589071358455.0,0.1962,0.1969,0.19578,0.19632,1156723.4
60,1589071433129.0,0.19632,0.19663,0.1955,0.19614,1157881.7999999996
61,1589071497506.0,0.19614,0.19633,0.1957,0.19622,1160475.0999999994
62,1589071558933.0,0.19622,0.19813,0.19604,0.198,1160096.500000001
63,1589071655667.0,0.198,0.19883,0.198,0.19828,1185421.0
64,1589071704988.0,0.19828,0.19887,0.19828,0.19856,1143828.0999999992
65,1589071734494.0,0.19856,0.19937,0.19854,0.1992,1142344.2000000014
66,1589071829859.0,0.1992,0.2,0.19864,0.19865,1144204.2999999998
67,1589071945200.0,0.19865,0.19907,0.19827,0.19867,1147350.4999999993
68,1589072011570.0,0.19867,0.19956,0.19845,0.19886,1142786.500000001
69,1589072121637.0,0.19886,0.19888,0.19724,0.19725,1148041.6000000003
70,1589072204589.0,0.19725,0.19725,0.19487,0.1951,1163148.6999999997
71,1589072252460.0,0.1951,0.19806,0.1951,0.19751,1166684.8999999997
72,1589072334255.0,0.19751,0.1985,0.19731,0.19731,1179143.0000000002
73,1589072410027.0,0.19731,0.19788,0.19634,0.1978,1152281.499999999
74,1589072489311.0,0.1978,0.1982,0.19719,0.19764,1150532.9999999993
75,1589072581083.0,0.19764,0.1981,0.19684,0.19736,1152286.7999999996
76,1589072714063.0,0.19736,0.1982,0.19709,0.19784,1149377.2999999993
77,1589072875718.0,0.19784,0.19837,0.19751,0.19778,1146526.4000000004
78,1589073044251.0,0.19778,0.1979,0.19695,0.19742,1158536.4
79,1589073142238.0,0.19742,0.19829,0.19737,0.19795,1152579.6
80,1589073336635.0,0.19795,0.198,0.19707,0.19732,1152859.4000000004
81,1589073523863.0,0.19732,0.19797,0.19724,0.19784,1177841.3
82,1589073705968.0,0.19784,0.19858,0.19761,0.19839,1183772.0000000007
83,1589073949174.0,0.19839,0.19905,0.19807,0.19829,1145430.7999999993
84,1589074189508.0,0.19829,0.19858,0.19703,0.19703,1193950.3999999994
