,_t,_o,_h,_l,_c,_v
0,1589365036036.0,2.5225,2.5263,2.5129,2.5225,36099.31000000003
1,1589366816451.0,2.5225,2.53,2.5214,2.525,36111.58000000001
2,1589367644795.0,2.525,2.5275,2.5231,2.5251,37180.23999999996
3,1589367864744.0,2.5251,2.5251,2.5182,2.52,36116.04000000001
4,1589368217142.0,2.52,2.52,2.5135,2.5135,36769.72
5,1589368404028.0,2.5135,2.5166,2.5084,2.51,36275.05000000003
6,1589368529217.0,2.51,2.51,2.5056,2.51,36653.449999999975
7,1589368576325.0,2.51,2.5185,2.5099,2.5181,36416.409999999996
8,1589368748283.0,2.5181,2.5294,2.5132,2.5294,36333.850000000006
9,1589369951715.0,2.5294,2.5368,2.525,2.5327,36607.689999999995
10,1589370518522.0,2.5327,2.542,2.531,2.5404,37591.45999999999
11,1589371196585.0,2.5404,2.543,2.5346,2.5381,35906.06000000001
12,1589371918011.0,2.5381,2.5452,2.5361,2.5432,35966.36999999996
13,1589372886869.0,2.5432,2.549,2.5418,2.549,36616.18999999997
14,1589373794796.0,2.549,2.5634,2.549,2.5627,36009.26999999999
15,1589374243850.0,2.5627,2.5675,2.5612,2.5675,36387.469999999994
16,1589374423023.0,2.5675,2.5684,2.5602,2.5604,35556.50999999999
17,1589374727040.0,2.5604,2.5675,2.5602,2.5602,35877.409999999996
18,1589374967717.0,2.5602,2.5602,2.5513,2.5529,35713.80000000001
19,1589375112147.0,2.5529,2.555,2.5501,2.5507,36099.850000000006
20,1589375891641.0,2.5507,2.5576,2.5492,2.5546,35678.62
21,1589376661807.0,2.5546,2.5585,2.5515,2.5515,36673.28
22,1589377316810.0,2.5515,2.5566,2.549,2.5564,35731.479999999996
23,1589378107069.0,2.5564,2.5699,2.5521,2.5696,35857.73000000001
24,1589378843937.0,2.5696,2.5722,2.5665,2.572,35991.39999999999
25,1589379301600.0,2.572,2.5725,2.5692,2.572,35491.43999999999
26,1589379740909.0,2.572,2.5734,2.5667,2.5691,35439.44999999999
27,1589380031896.0,2.5691,2.5711,2.5652,2.5707,36318.1
28,1589380332275.0,2.5707,2.571,2.5555,2.5555,35651.78999999999
29,1589381192020.0,2.5555,2.5604,2.5502,2.5575,35954.06000000002
30,1589381825124.0,2.5575,2.571,2.5575,2.5681,40143.89000000001
31,1589382207108.0,2.5681,2.5722,2.568,2.5714,35805.64
32,1589382735832.0,2.5714,2.577,2.571,2.5712,35453.54000000003
33,1589383174370.0,2.5712,2.5814,2.568,2.5814,35388.59999999999
34,1589384092523.0,2.5814,2.5818,2.5722,2.58,35522.12
35,1589384615666.0,2.58,2.5814,2.5741,2.5772,35354.920000000006
36,1589385187735.0,2.5772,2.5822,2.5703,2.5802,35346.21
37,1589385661713.0,2.5802,2.5863,2.5799,2.5841,35324.700000000004
38,1589385768790.0,2.5841,2.5859,2.5604,2.5607,36167.229999999996
39,1589385855289.0,2.5607,2.57,2.558,2.5661,35500.49000000001
40,1589386467661.0,2.5661,2.5666,2.5548,2.5548,35716.35000000002
41,1589386876254.0,2.5548,2.5603,2.5489,2.5489,35807.389999999985
42,1589387962294.0,2.5489,2.561,2.5478,2.5526,36238.14000000002
43,1589389407249.0,2.5526,2.5553,2.5416,2.5434,35752.22
44,1589389872166.0,2.5434,2.5471,2.5383,2.5383,35965.17000000001
45,1589391161323.0,2.5383,2.5495,2.5345,2.5439,35795.570000000014
46,1589392011390.0,2.5439,2.55,2.54,2.55,36600.10000000001
47,1589393799091.0,2.55,2.5586,2.55,2.5515,37307.67
48,1589394369711.0,2.5515,2.5537,2.5419,2.5459,35862.520000000004
49,1589396760815.0,2.5459,2.5566,2.542,2.553,35896.13000000001
50,1589399060622.0,2.553,2.5604,2.553,2.557,35587.229999999996
51,1589399350257.0,2.557,2.5601,2.5539,2.56,35927.63999999997
52,1589400191973.0,2.56,2.574,2.559,2.5705,36846.73999999999
53,1589400225477.0,2.5705,2.5741,2.565,2.5675,35997.920000000006
54,1589400325821.0,2.5675,2.572,2.5592,2.572,36223.84
55,1589400921423.0,2.572,2.5798,2.5683,2.5777,35490.619999999995
56,1589401308124.0,2.5777,2.58,2.5742,2.5742,35399.189999999995
57,1589401701088.0,2.5742,2.5778,2.569,2.5731,35886.32000000003
58,1589402581615.0,2.5731,2.5772,2.5609,2.5713,35483.189999999995
59,1589402917439.0,2.5713,2.5749,2.562,2.5703,35474.67999999999
60,1589403726296.0,2.5703,2.5725,2.5674,2.5725,35512.27999999999
61,1589403998323.0,2.5725,2.5725,2.561,2.561,35666.12
62,1589404281643.0,2.561,2.5725,2.56,2.5703,35706.83000000001
63,1589405066656.0,2.5703,2.5713,2.5632,2.5632,36068.61999999998
64,1589405853768.0,2.5632,2.5725,2.5608,2.5725,41714.619999999995
65,1589406432280.0,2.5725,2.58,2.5725,2.58,42060.92999999999
66,1589406661041.0,2.58,2.5879,2.5798,2.5872,35286.96000000001
67,1589406983295.0,2.5872,2.5891,2.5811,2.5843,36224.81999999997
68,1589407269856.0,2.5843,2.586,2.5691,2.579,36464.94000000001
69,1589408105199.0,2.579,2.586,2.5784,2.5816,35350.51000000001
70,1589409047156.0,2.5816,2.5839,2.571,2.5727,36204.16000000002
